step,reward,TD_Loss,Final Loss,ally_alive,enemy_alive,t_win_rate,intrinsic_1,intrinsic_2
79026,0.11518257856369019,0.016930807381868362,0.016930807381868362,1.0234375,8.21875,1.0,0.0001320254523307085,0.0008607343188486993
80041,0.10654935985803604,0.015597041696310043,0.015597041696310043,1.03125,8.203125,1.0,0.0001233531511388719,0.0007878275937400758
148367,0.12938641011714935,0.013402553275227547,0.013402553275227547,1.0703125,7.4453125,1.0,0.00015402998542413116,0.0012920624576508999
153082,0.1312108039855957,0.01214980985969305,0.01214980985969305,1.015625,7.453125,1.0,0.0001575371134094894,0.0014107730239629745
192000,0.13644394278526306,0.011475466191768646,0.011475466191768646,1.0625,7.3984375,1.0,0.00016645394498482347,0.0013389032101258636
227388,0.13077977299690247,0.01366567611694336,0.01366567611694336,1.125,7.3359375,1.0,0.0001570953754708171,0.0011950199259445071
250894,0.14640100300312042,0.016488727182149887,0.016488727182149887,1.0390625,7.0078125,1.0,0.0001742046733852476,0.0015702748205512762
262499,0.14841537177562714,0.018993977457284927,0.018993977457284927,1.0703125,6.828125,1.0,0.0001803580526029691,0.0015788633609190583
275288,0.1541728675365448,0.015717193484306335,0.015717193484306335,1.0703125,6.828125,1.0,0.00018592432024888694,0.0017194082029163837
291420,0.1600450575351715,0.016311291605234146,0.016311291605234146,1.1015625,6.6953125,1.0,0.000194080887013115,0.0017289394745603204
298929,0.1459907442331314,0.016713585704565048,0.016713585704565048,1.1953125,6.5859375,1.0,0.0001771910465322435,0.0015731665771454573
304116,0.15350191295146942,0.017511123791337013,0.017511123791337013,1.1171875,6.6484375,1.0,0.00018453531083650887,0.0016615681815892458
461844,0.1622881144285202,0.022151323035359383,0.022151323035359383,1.1015625,6.65625,1.0,0.00018455326789990067,0.001813711365684867
492837,0.1694360077381134,0.022745298221707344,0.022745298221707344,1.0390625,6.6171875,1.0,0.0001939576177392155,0.0019857557490468025
494133,0.1736106425523758,0.024641748517751694,0.024641748517751694,1.1484375,6.6484375,1.0,0.0001984375121537596,0.0020364101510494947
511752,0.17433975636959076,0.024386616423726082,0.024386616423726082,1.0546875,6.671875,1.0,0.00019532031728886068,0.0019981341902166605
589415,0.16735413670539856,0.019451096653938293,0.019451096653938293,1.0859375,6.5703125,1.0,0.0001886598183773458,0.001922320225276053
611926,0.17082087695598602,0.021351035684347153,0.021351035684347153,1.1015625,6.484375,1.0,0.00018780321988742799,0.002008798997849226
723114,0.1728360652923584,0.020521102473139763,0.020521102473139763,1.0859375,6.2578125,1.0,0.0001854116126196459,0.0019808225333690643
729332,0.16493503749370575,0.0208829864859581,0.0208829864859581,1.0625,6.3359375,1.0,0.0001744153123581782,0.0019900761544704437
736647,0.17836779356002808,0.019906802102923393,0.019906802102923393,1.109375,6.296875,1.0,0.0001918738998938352,0.002151462249457836
762007,0.18456703424453735,0.02284584753215313,0.02284584753215313,1.078125,6.296875,1.0,0.00019815466657746583,0.002264750888571143
839444,0.1874208003282547,0.023265931755304337,0.023265931755304337,1.0703125,6.4375,1.0,0.000200987487914972,0.0023434266913682222
