step,reward,win_rate,mean_steps
396,-0.75,0.0,96.84375
10441,-0.9375,0.0,73.03125
20524,-1.0,0.0,67.78125
30732,-0.90625,0.0,74.21875
40779,-0.90625,0.0,71.5
51143,-0.6875,0.0,100.1875
61414,-0.53125,0.03125,107.125
71815,-0.625,0.03125,99.34375
81953,-0.53125,0.03125,111.78125
92135,-0.625,0.03125,98.21875
102636,-0.3125,0.09375,122.9375
112728,-0.6875,0.0,96.53125
123290,-0.5,0.09375,99.25
133823,-0.625,0.03125,102.3125
144084,-0.8125,0.0,85.875
154384,-0.3125,0.25,84.625
164722,-0.4375,0.09375,106.5625
175019,-0.65625,0.125,72.96875
185116,-0.71875,0.0625,79.78125
195404,-0.625,0.09375,84.25
205494,-0.4375,0.15625,88.90625
215648,-0.4375,0.25,70.4375
226014,-0.59375,0.09375,89.375
236441,-0.5625,0.1875,67.9375
246859,-0.6875,0.125,68.65625
257282,-0.6875,0.125,70.53125
267569,-0.6875,0.125,78.0
277784,-0.6875,0.09375,79.65625
288188,-0.71875,0.125,69.3125
298337,-0.8125,0.09375,65.875
308392,-0.6875,0.125,68.59375
318851,-0.4375,0.28125,63.09375
328985,-0.71875,0.125,69.6875
339317,-0.65625,0.125,73.65625
349915,-0.53125,0.1875,73.78125
359983,-0.28125,0.3125,72.59375
370061,-0.53125,0.21875,67.5
380396,-0.3125,0.3125,72.90625
390712,-0.59375,0.1875,66.21875
400842,-0.28125,0.34375,68.78125
411117,-0.65625,0.15625,67.40625
421500,-0.15625,0.40625,63.4375
431503,-0.1875,0.34375,76.34375
441588,-0.03125,0.4375,77.3125
451860,-0.1875,0.34375,84.625
462074,0.09375,0.5,77.34375
472162,0.53125,0.75,70.46875
482380,-0.03125,0.46875,72.78125
492873,-0.375,0.28125,76.0625
503090,0.03125,0.5,70.0
513347,-0.125,0.40625,77.5625
523449,0.0625,0.5,77.15625
533825,-0.15625,0.375,74.625
544197,0.0625,0.53125,69.34375
554621,-0.53125,0.21875,72.9375
564762,-0.09375,0.4375,69.4375
575193,-0.28125,0.3125,77.15625
585664,-0.21875,0.375,69.28125
595864,-0.34375,0.3125,71.09375
606121,0.15625,0.5,86.53125
616152,-0.03125,0.46875,71.1875
626608,-0.0625,0.46875,70.21875
637124,-0.03125,0.46875,73.09375
647565,0.125,0.5625,71.3125
657607,0.28125,0.625,71.5
668142,-0.15625,0.40625,69.40625
678237,0.0625,0.53125,64.625
688662,0.15625,0.5625,71.125
698790,0.3125,0.65625,68.96875
708941,0.09375,0.53125,72.0
718966,0.1875,0.59375,65.6875
729035,0.09375,0.53125,69.96875
739609,0.0,0.46875,74.125
749722,0.25,0.625,67.875
759813,-0.1875,0.40625,66.15625
770260,0.03125,0.46875,78.09375
780533,0.3125,0.65625,67.28125
790867,0.03125,0.5,73.59375
801236,0.4375,0.71875,66.59375
811276,0.125,0.5625,65.78125
821279,0.1875,0.59375,67.0
831768,0.3125,0.65625,67.9375
841905,0.125,0.53125,74.40625
852084,-0.15625,0.40625,70.5
862150,0.09375,0.53125,69.625
872165,0.21875,0.59375,72.03125
882537,0.40625,0.6875,69.84375
892894,0.5,0.75,65.71875
903142,0.5625,0.78125,65.875
913182,0.4375,0.71875,66.34375
923340,0.1875,0.59375,67.65625
933802,0.625,0.8125,67.5625
943902,0.5625,0.78125,63.4375
954288,0.125,0.5625,67.375
964738,0.40625,0.6875,65.75
975274,0.34375,0.65625,68.65625
985436,0.5,0.75,66.625
995528,0.53125,0.75,68.9375
1005935,0.5625,0.78125,66.375
1016133,0.5,0.75,68.9375
1026633,0.6875,0.84375,64.84375
1037034,0.4375,0.71875,65.84375
1047248,0.4375,0.71875,64.15625
1057626,0.53125,0.75,66.28125
1067628,0.34375,0.65625,72.40625
1077848,0.3125,0.625,74.5
1088372,0.6875,0.8125,74.96875
1098757,0.40625,0.6875,70.03125
1109105,0.5625,0.78125,64.65625
1119536,0.5,0.75,64.90625
1129615,0.5,0.75,64.4375
1139862,0.40625,0.6875,70.8125
1150180,0.53125,0.75,70.125
1160525,0.75,0.875,67.375
