step,reward,win_rate,mean_steps
414,-0.625,0.0,113.40625
10790,-0.8125,0.0,81.5
20871,-0.8125,0.0,83.65625
31005,-0.84375,0.03125,71.84375
41169,-0.46875,0.1875,81.1875
51450,-0.5,0.1875,80.25
61642,-0.65625,0.0625,93.0
71935,-0.6875,0.0,101.0625
82115,-0.6875,0.0,107.65625
92256,-0.78125,0.03125,83.375
102479,-0.6875,0.0625,92.75
113078,-0.6875,0.0,106.46875
123343,-0.46875,0.1875,84.71875
133535,-0.15625,0.3125,96.09375
143721,0.21875,0.59375,75.09375
154259,0.28125,0.625,70.4375
164696,-0.0625,0.34375,95.875
174706,-0.15625,0.28125,95.5
184755,-0.09375,0.25,116.8125
195326,-0.0625,0.34375,96.15625
205697,0.25,0.5,94.84375
215836,0.3125,0.59375,80.375
225908,0.28125,0.625,68.5
236376,0.25,0.59375,74.3125
246756,0.625,0.75,81.59375
257353,0.1875,0.53125,76.375
267399,0.53125,0.625,95.53125
277903,0.3125,0.625,67.625
288484,0.25,0.59375,69.59375
298613,-0.125,0.375,75.9375
308656,0.125,0.5,74.5625
318993,0.28125,0.625,61.4375
329046,0.15625,0.5625,65.25
339075,0.46875,0.71875,63.8125
349331,0.21875,0.59375,64.4375
359932,0.34375,0.65625,66.46875
370297,0.375,0.6875,62.53125
380797,0.5625,0.78125,60.46875
390935,0.625,0.8125,60.0625
401481,0.5625,0.78125,59.375
411882,0.59375,0.78125,64.375
422085,0.5,0.71875,65.65625
432219,0.625,0.78125,70.78125
442470,0.625,0.8125,66.34375
452917,0.53125,0.75,69.15625
463386,0.90625,0.9375,67.15625
473730,0.625,0.8125,69.84375
484018,0.8125,0.90625,64.15625
494180,0.8125,0.875,73.0
504379,0.4375,0.6875,77.03125
514549,0.40625,0.6875,76.90625
525050,0.625,0.78125,76.4375
535455,0.28125,0.5625,86.125
545920,0.40625,0.65625,84.75
556241,0.8125,0.90625,66.90625
566563,0.625,0.8125,71.28125
576608,0.5,0.71875,77.59375
587158,0.28125,0.59375,80.875
597574,0.375,0.65625,82.8125
608267,0.71875,0.84375,76.6875
618536,0.53125,0.71875,81.9375
628764,0.15625,0.5625,79.1875
638943,0.59375,0.78125,73.21875
649550,0.625,0.8125,72.6875
659763,0.59375,0.78125,80.21875
669982,0.53125,0.75,80.375
680103,0.65625,0.8125,75.8125
690593,0.8125,0.90625,68.21875
701139,0.71875,0.84375,75.375
711435,0.53125,0.75,77.9375
721622,0.875,0.9375,69.5
732107,0.59375,0.78125,81.28125
742206,0.6875,0.8125,81.9375
752378,0.71875,0.8125,84.40625
762589,0.875,0.9375,67.75
772807,0.53125,0.71875,84.53125
782981,0.53125,0.75,79.3125
793625,0.6875,0.84375,81.71875
803997,0.71875,0.84375,83.875
814456,0.75,0.875,81.375
825101,0.75,0.84375,80.09375
835184,0.84375,0.90625,78.4375
845647,0.75,0.84375,82.75
855931,0.625,0.8125,76.625
866478,0.84375,0.90625,83.25
876650,0.53125,0.71875,94.40625
887123,0.625,0.78125,88.34375
897326,0.6875,0.84375,87.03125
907487,1.0,1.0,84.34375
917896,0.84375,0.90625,86.1875
928541,0.75,0.84375,96.03125
938924,0.59375,0.75,102.125
949136,0.8125,0.90625,93.0
959546,0.625,0.78125,89.34375
969859,0.75,0.84375,98.40625
980139,0.8125,0.90625,89.6875
990684,0.875,0.9375,91.09375
1001255,0.8125,0.875,102.75
1011812,0.84375,0.90625,88.53125
1022446,0.875,0.90625,94.0625
1032677,0.875,0.9375,91.21875
1043217,0.84375,0.90625,92.90625
1053598,0.75,0.875,91.375
1063792,0.8125,0.90625,92.40625
1074089,0.84375,0.90625,94.0625
1084693,0.71875,0.84375,96.40625
1094947,0.9375,0.96875,93.15625
1105277,0.875,0.9375,92.625
1115481,0.90625,0.9375,91.4375
1125596,0.875,0.90625,95.34375
1135607,0.875,0.9375,96.59375
1145690,0.9375,0.96875,87.96875
1156097,0.875,0.9375,92.1875
1166470,0.90625,0.9375,92.3125
1176643,0.75,0.875,90.3125
1187144,0.96875,0.96875,97.34375
1197785,0.90625,0.9375,95.28125
1207906,0.90625,0.9375,98.1875
1218051,1.0,1.0,90.09375
1228261,1.0,1.0,98.0625
1238636,0.90625,0.9375,88.78125
1248647,0.71875,0.84375,98.875
1258887,0.875,0.9375,97.0625
1269611,0.875,0.9375,98.28125
1280441,0.8125,0.90625,91.03125
1291064,0.84375,0.90625,93.3125
1301241,0.8125,0.90625,95.40625
1311579,0.875,0.9375,96.84375
1321753,0.71875,0.84375,105.21875
1331867,0.75,0.875,94.90625
1341937,0.875,0.9375,101.15625
1352511,0.8125,0.90625,98.40625
1362639,0.875,0.9375,98.25
1373154,0.78125,0.875,105.34375
1383681,0.8125,0.90625,96.78125
1394233,0.96875,0.96875,102.5
1404735,0.84375,0.90625,98.59375
1415339,0.875,0.90625,105.25
1425504,0.875,0.9375,97.6875
1435522,0.8125,0.90625,100.875
1445858,0.875,0.90625,111.0625
1455876,1.0,1.0,100.9375
1466037,0.8125,0.90625,98.5625
1476417,1.0,1.0,99.75
1487133,0.75,0.875,98.21875
1497358,1.0,1.0,100.34375
1507841,0.875,0.9375,104.25
1517891,0.875,0.9375,99.46875
1527958,0.875,0.9375,101.75
1538379,0.78125,0.875,100.5625
1548739,0.5625,0.78125,104.28125
1559391,0.90625,0.9375,101.34375
1570143,0.65625,0.8125,106.59375
1580248,0.8125,0.90625,102.34375
1590927,0.875,0.90625,104.0625
1601489,1.0,1.0,98.46875
1611781,0.78125,0.875,101.0625
1622375,0.8125,0.90625,97.34375
1633299,0.875,0.9375,100.46875
1643307,0.875,0.9375,104.96875
1653454,0.90625,0.9375,97.375
1663576,0.8125,0.875,105.0
1674160,1.0,1.0,106.9375
1684928,1.0,1.0,101.4375
1695645,1.0,1.0,104.625
1705888,1.0,1.0,105.8125
1716273,0.875,0.90625,120.03125
1726459,0.96875,0.96875,106.71875
1737009,0.78125,0.875,109.34375
1747225,0.96875,0.96875,108.5625
1757953,0.90625,0.9375,104.0
1768198,0.78125,0.875,108.375
1778402,0.9375,0.9375,111.53125
1789031,0.90625,0.9375,107.96875
1799425,0.75,0.875,108.03125
1809943,0.9375,0.96875,111.53125
1820491,0.875,0.90625,108.90625
1831141,0.875,0.9375,111.4375
1841434,0.9375,0.9375,107.40625
1851528,0.875,0.90625,112.65625
1861560,0.875,0.9375,103.59375
1872027,0.78125,0.875,110.8125
1882663,0.9375,0.96875,109.9375
