step,reward,win_rate,mean_steps
384,6.301170318725098,0.0,53.25
10492,6.510427041832667,0.0,47.21875
20826,7.798649153386451,0.0,44.96875
31012,8.226655876494021,0.0,54.5625
41418,8.382158864541829,0.0,46.0
51519,7.017803784860556,0.0,44.28125
61759,4.476593625498007,0.0,54.0625
72074,3.942137699203186,0.0,58.6875
82292,7.0051979581673285,0.0,55.90625
92646,6.6777577191235045,0.0,50.78125
102763,7.763103834661352,0.0,45.09375
112989,8.28258839641434,0.0,47.6875
123152,8.287257221115535,0.0,47.03125
133420,8.49567355577689,0.0,48.90625
143609,9.995798057768921,0.0,52.78125
153880,9.977371762948202,0.0,54.78125
164065,9.585844123505973,0.0,55.6875
174502,9.686192729083661,0.0,55.40625
184571,10.150211653386451,0.0,57.375
194981,9.841197709163342,0.0,56.1875
205077,9.671314741035854,0.0,59.5
215299,10.556710657370514,0.0,57.96875
225455,9.794882968127485,0.0,58.4375
235811,10.46426792828685,0.0,59.28125
245992,10.260862798804778,0.0,60.59375
256387,11.293762450199202,0.0,65.3125
266844,9.7261889940239,0.0,58.75
277004,11.954805776892426,0.0,68.375
287015,11.646414342629477,0.0,69.65625
297250,11.712587151394423,0.0,72.125
307673,11.202907121513942,0.03125,62.3125
317704,11.24891060756972,0.0,60.96875
328033,11.60747634462151,0.0,64.71875
338474,12.274215637450197,0.0,72.625
348840,12.23092006972111,0.0,62.4375
359048,11.281530129482068,0.03125,63.0
369545,10.57575946215139,0.0,71.0625
379753,10.033553286852587,0.0,96.4375
389780,9.602589641434259,0.0,77.21875
400387,13.03028510956175,0.03125,95.21875
410706,12.765282619521912,0.0,82.65625
421185,13.68687749003984,0.0625,107.375
431409,13.417455179282872,0.03125,116.625
441668,12.391309760956172,0.0,108.3125
452118,13.934356324701195,0.03125,89.59375
462753,14.382905876494018,0.0,90.4375
473049,14.174240537848608,0.0625,124.65625
483872,13.732507470119518,0.0,100.84375
494169,14.26042704183267,0.0,121.15625
504347,14.545598854581673,0.0625,119.125
514936,14.539342629482075,0.0625,119.875
525687,14.455179282868528,0.03125,116.28125
536175,13.61438620517928,0.03125,91.84375
546339,13.952502490039837,0.09375,68.75
556928,14.84832544820717,0.125,78.21875
567454,14.613825946215137,0.09375,76.5
577642,15.362145169322705,0.15625,76.46875
587782,14.858721364541832,0.125,72.34375
598259,14.012325697211153,0.0625,69.3125
608879,14.242187500000004,0.0625,81.375
619109,15.264037599601592,0.1875,66.9375
629382,15.215419571713145,0.125,71.28125
639496,13.933827191235055,0.03125,65.75
649741,14.184760956175296,0.0625,66.15625
659904,15.18544571713147,0.09375,71.46875
670295,15.44478336653386,0.125,77.84375
680940,15.115880229083665,0.125,74.5
691134,15.545194223107568,0.09375,82.71875
701716,15.806586155378486,0.1875,75.03125
712011,16.141216384462147,0.25,75.90625
722268,16.27424676294821,0.1875,76.46875
732642,16.29310881474104,0.21875,71.71875
742933,16.76413097609563,0.3125,84.25
753280,17.289404880478088,0.375,75.40625
763778,18.297186254980087,0.5,90.8125
774668,17.02368650398408,0.25,119.09375
785191,18.904973854581673,0.75,71.5625
795369,18.487207420318725,0.59375,77.75
805712,17.612767679282868,0.5625,72.5625
816095,17.95141309760956,0.65625,75.03125
826111,18.61174053784861,0.625,82.59375
836195,18.53156125498008,0.71875,71.78125
846733,17.845119521912352,0.6875,69.03125
856811,18.60965512948207,0.75,70.3125
867303,19.135364790836654,0.8125,71.3125
877359,19.117156374501995,0.8125,70.78125
887754,19.180963645418323,0.78125,70.21875
898323,19.083914342629484,0.75,72.65625
908377,16.319907868525892,0.34375,72.4375
918501,18.002458914342633,0.59375,78.0
928919,19.08733814741036,0.78125,73.875
939276,19.349570468127496,0.8125,75.6875
949695,19.66207046812749,0.90625,69.03125
960167,19.757407868525902,0.90625,70.15625
970334,19.336030876494025,0.84375,72.0
980549,19.728398904382473,0.875,73.125
990831,19.93600597609562,0.96875,68.40625
1001281,19.577097858565736,0.875,73.21875
1011830,19.730982320717132,0.90625,69.46875
1021906,19.56853834661355,0.8125,74.375
1031989,19.76213894422311,0.90625,74.625
1042351,19.512543575697215,0.84375,73.03125
1052534,19.51195219123506,0.84375,71.3125
1062624,19.56106822709163,0.875,68.3125
1073142,19.925423306772906,0.96875,68.78125
1083161,19.344497011952193,0.78125,76.125
1093266,19.645449452191237,0.9375,73.375
