step,reward,win_rate,mean_steps
384,6.053255727091632,0.0,49.03125
10440,6.3855515438246995,0.0,47.4375
20770,8.186908615537845,0.0,48.21875
30892,8.51067604581673,0.0,49.21875
40995,8.415681025896411,0.0,48.8125
51411,8.602402888446212,0.0,49.5
61584,8.250342380478084,0.0,47.59375
71780,7.703187250996013,0.0,45.15625
82035,4.323020418326692,0.0,84.5
92071,8.431804033864537,0.0,49.90625
102090,9.56461653386454,0.0,53.65625
112113,9.486055776892428,0.0,55.375
122123,9.688900647410355,0.0,55.9375
132360,9.890593874501988,0.0,56.90625
142807,10.341135458167326,0.0,59.1875
152830,10.839610308764938,0.0,64.0625
163282,10.629233067729078,0.0,60.59375
173474,11.606635956175296,0.0,67.28125
184035,10.891091882470118,0.0,65.53125
194154,10.981635956175294,0.0,61.78125
204371,11.417019422310753,0.0,67.53125
214403,11.767679282868523,0.0,65.40625
224665,12.330770667330672,0.0,70.1875
234975,12.735122011952187,0.03125,73.28125
245241,12.385395916334659,0.0,70.25
255438,13.184138446215137,0.0,88.375
265746,14.091757968127487,0.0625,84.15625
275777,13.17810009960159,0.03125,65.46875
286162,14.099570468127489,0.0625,68.71875
296931,14.00080926294821,0.03125,104.65625
307137,13.434107320717125,0.0,92.25
317513,10.82286479083665,0.03125,69.09375
327546,13.364510707171311,0.0,100.03125
338309,12.972080428286848,0.0,77.03125
348869,14.258621762948213,0.03125,117.5
358901,14.18192853585657,0.03125,84.6875
369505,14.618308017928289,0.03125,98.375
379850,13.481729332669318,0.0,88.125
390046,13.992094123505977,0.0,92.34375
400250,14.222267181274898,0.03125,109.59375
411222,14.046221364541836,0.03125,103.0
421245,14.397877241035852,0.03125,91.125
431333,13.350815488047804,0.03125,73.78125
441724,14.622354332669323,0.0625,115.625
452194,14.581860059760952,0.0625,89.28125
462311,14.576039591633466,0.0625,107.53125
472620,14.820748256972108,0.0625,100.875
482731,14.998910607569726,0.03125,123.8125
493121,15.788128735059765,0.15625,99.8125
503578,14.964330179282866,0.0,93.71875
513891,15.87531125498008,0.125,97.84375
524730,15.314274153386458,0.0625,99.9375
535522,15.776985806772919,0.125,112.5
545663,15.439025149402394,0.09375,107.28125
556065,15.942822460159363,0.15625,111.15625
566375,15.430092131474108,0.0625,93.9375
576728,16.545318725099612,0.15625,113.84375
587434,17.03703934262949,0.28125,93.5625
597797,17.144515687251022,0.28125,116.5625
608098,16.797590886454195,0.1875,121.46875
618792,16.443009213147427,0.15625,136.0625
629139,16.74635831673308,0.21875,142.0
639418,17.56477216135459,0.40625,108.59375
649805,17.99078685258965,0.46875,91.90625
659897,17.68933640438248,0.34375,103.84375
670326,16.938060258964153,0.21875,95.84375
680819,17.30916957171316,0.34375,90.5
690861,17.527265936254985,0.40625,84.03125
701275,18.816515189243034,0.65625,80.59375
711382,17.986460408366543,0.53125,76.6875
721662,17.40391558764941,0.40625,81.25
732051,17.474850597609567,0.40625,81.46875
742119,18.699452191235064,0.6875,75.53125
752534,17.981667081673308,0.5625,76.03125
762920,18.29908491035857,0.59375,74.4375
773327,18.89467131474104,0.71875,71.53125
783476,18.737114043824704,0.65625,77.4375
793803,19.056990786852587,0.75,71.5625
804217,19.162786354581677,0.75,73.53125
814462,19.600597609561753,0.875,71.96875
824720,17.564709910358566,0.625,68.40625
834937,18.738576942231077,0.71875,69.0
845251,18.626867529880478,0.71875,71.3125
855386,18.771850099601593,0.71875,70.65625
865407,19.576568725099605,0.875,73.21875
875554,19.177695468127492,0.78125,70.65625
885604,18.52866658366534,0.625,71.5
896139,18.712151394422314,0.6875,70.125
906320,18.993494770916335,0.75,69.71875
916593,19.417081673306775,0.84375,71.59375
926790,19.788097609561756,0.9375,70.28125
937151,19.351500249003983,0.84375,70.875
947407,19.78887574701195,0.90625,69.0625
957629,19.513944223107572,0.84375,67.75
967912,19.076662101593627,0.71875,79.46875
978003,19.84393675298805,0.9375,73.84375
988065,19.640095866533866,0.90625,70.5625
998476,20.014037599601593,0.96875,69.25
1008667,19.687437749003983,0.9375,68.46875
1018916,19.494428535856578,0.84375,71.09375
1029346,19.173960408366536,0.78125,73.40625
1039495,19.794478336653388,0.9375,68.875
1049874,19.822771414342633,0.9375,66.40625
1060204,19.620051045816734,0.84375,71.34375
1070370,19.758310507968126,0.90625,70.875
1080972,19.901238794820717,0.9375,65.5
1091034,19.510053535856574,0.84375,79.46875
1101388,19.045443227091646,0.71875,88.03125
1111473,20.011205179282868,0.96875,69.46875
1121628,19.73039093625498,0.90625,68.3125
1131842,19.765220368525902,0.875,76.59375
1142179,19.472858565737056,0.8125,73.34375
1152323,19.275242778884465,0.75,83.53125
1162787,19.929096115537853,0.9375,72.5
1172996,19.81891185258965,0.875,79.0625
1183481,19.831922310756973,0.90625,71.5625
1193927,19.984779631474105,0.96875,67.9375
1204121,19.424863047808767,0.8125,73.53125
1214613,19.71345866533865,0.90625,68.625
1224661,19.84104208167331,0.90625,72.65625
1234731,19.476904880478088,0.8125,72.6875
1244790,19.38327938247012,0.90625,75.125
1255146,19.270169322709165,0.90625,66.6875
1265600,19.191390687250998,0.90625,66.25
1275752,19.80531000996016,0.9375,63.625
1286036,19.113639193227094,0.71875,75.40625
1296231,19.78454930278885,0.90625,68.25
1306771,19.426886205179287,0.8125,74.15625
1316778,19.552384213147413,0.8125,69.9375
1326973,19.938745019920322,0.9375,69.375
1337499,19.816795318725102,0.9375,70.34375
1347963,19.52872883466136,0.84375,70.21875
1358419,19.669820717131486,0.8125,73.9375
1368749,19.63909985059761,0.875,66.65625
1379013,19.788906872509962,0.90625,70.1875
1389045,19.838707669322716,0.90625,73.375
1399133,19.95698456175299,0.96875,64.46875
1409532,19.941670816733065,0.96875,64.28125
1419791,19.61102465139443,0.875,71.6875
1429911,19.793762450199218,0.875,74.25
1439971,19.677041832669325,0.90625,64.375
1450318,19.70611304780877,0.875,69.53125
1460684,20.052913346613547,1.0,65.34375
1470877,20.018675298804787,0.96875,69.96875
1480926,19.83126867529881,0.9375,64.03125
1491252,19.833478585657375,0.90625,69.25
1501630,19.717318227091635,0.90625,63.75
1511922,19.944627739043828,0.96875,64.28125
1522329,19.679936503984067,0.90625,64.59375
1532643,19.986616035856578,0.9375,73.1875
1542777,19.578872011952193,0.875,69.34375
1552835,19.45517928286853,0.78125,73.75
1563375,19.7871015936255,0.90625,66.65625
1573392,19.66636578685259,0.875,65.78125
1583759,20.066733067729086,1.0,67.875
1594159,19.85928162350598,0.9375,65.46875
1604288,19.74996887450199,0.9375,64.09375
1614713,19.90671688247012,0.96875,65.21875
1624863,19.753268177290835,0.9375,66.34375
1635148,19.941515189243027,0.96875,64.71875
1645471,19.601624750996017,0.875,64.375
1655765,19.866876245019924,0.9375,67.8125
1666084,19.849072460159366,0.90625,65.4375
1676469,19.837805029880478,0.9375,60.5
1686949,19.015158117529882,0.84375,68.21875
1697016,19.97089765936255,0.96875,65.53125
1707023,19.862705428286855,0.9375,67.8125
1717237,20.040338645418327,1.0,63.21875
1727485,19.80241533864542,0.96875,63.96875
1737810,19.960750747011957,0.96875,62.6875
1747861,19.969808266932276,0.96875,72.46875
1758227,19.648499750996024,0.8125,75.03125
1768310,19.749813247011957,0.875,71.21875
1778441,19.671999501992037,0.84375,73.59375
1788962,19.408802290836658,0.8125,71.5625
1799345,19.906965886454188,0.9375,70.53125
1809751,19.908366533864545,0.9375,69.6875
1819836,19.829276643426297,0.90625,70.84375
1830111,19.877770169322712,0.9375,66.9375
1840341,19.70054158366534,0.90625,65.90625
1850784,20.033366533864545,1.0,64.3125
1861201,19.873786105577693,0.9375,68.1875
1871298,19.793949203187257,0.875,71.0625
1881313,20.041957171314742,1.0,63.71875
1891828,19.521569970119522,0.875,64.59375
1902068,20.073767430278888,1.0,66.25
1912291,20.030129482071715,1.0,63.3125
1922330,19.947802539840637,0.96875,68.09375
1932533,19.845461902390443,0.9375,65.5
1942896,20.059076195219124,1.0,65.9375
1953384,20.046875,1.0,64.78125
1963812,19.790276394422314,0.9375,65.34375
1974292,19.81726220119522,0.9375,67.09375
1984969,19.951257470119522,0.96875,68.90625
1995092,19.927539840637454,0.9375,66.5625
2005195,19.783335408366536,0.90625,68.625
2015651,20.05920069721116,1.0,64.65625
2025836,19.933982818725106,0.9375,65.375
2036174,19.761609810756973,0.90625,65.75
2046482,19.74950199203188,0.875,74.75
2056748,19.907961902390447,0.90625,74.8125
2066907,19.767897161354583,0.90625,66.46875
2077094,19.719621513944226,0.90625,64.03125
2087432,19.880260209163346,0.96875,67.65625
2097607,19.661416832669328,0.875,68.375
2108014,19.875871513944233,0.90625,73.0625
2118042,19.03691484063745,0.75,65.0625
2128066,19.7535171812749,0.90625,64.28125
2138284,19.790183017928292,0.875,71.78125
2148521,20.055278884462155,1.0,64.53125
2158893,19.816452938247018,0.9375,63.9375
2169326,19.604021414342633,0.875,65.0625
2179566,19.862674302788847,0.9375,62.78125
2190046,19.91400024900399,0.9375,67.15625
2200562,19.786759213147416,0.90625,70.4375
2211115,19.545661105577693,0.84375,72.28125
2221266,19.874688745019924,0.9375,65.59375
2231554,20.034736055776893,1.0,62.84375
2242179,19.891465388446218,0.9375,65.9375
2252454,20.057146414342633,1.0,65.46875
2262501,19.913471115537853,0.9375,67.84375
2272879,19.695281374501995,0.9375,63.09375
2283025,19.676948456175303,0.875,70.15625
2293074,20.036852589641434,1.0,63.625
2303162,19.793606822709165,0.90625,65.59375
2313476,19.724570468127503,0.875,74.75
2323726,19.826879980079685,0.9375,69.59375
2333884,19.686410607569726,0.875,77.3125
2344018,19.849414840637454,0.9375,67.9375
2354280,19.552851095617534,0.84375,74.21875
2364691,20.005291334661365,0.96875,66.09375
2374748,19.899495766932276,0.90625,69.3125
2385133,19.82009462151395,0.9375,67.5
2395463,19.969901643426304,0.9375,70.6875
2405688,19.559636454183273,0.8125,76.4375
2416040,19.393021663346623,0.75,83.9375
2426243,19.45925672310758,0.8125,72.3125
2436622,19.926076942231084,0.9375,71.96875
2446877,19.90481822709164,0.9375,66.78125
2456954,19.76413097609563,0.90625,67.3125
2467387,19.866782868525902,0.90625,72.09375
2477712,19.69630851593626,0.90625,66.6875
2488235,19.65743276892431,0.875,70.90625
2498550,19.96071962151395,0.9375,74.59375
2508574,19.79310881474104,0.9375,65.8125
2518940,19.589454681274905,0.84375,74.90625
2529153,19.749968874501995,0.90625,66.6875
2539595,19.75765687250997,0.875,69.5625
2549735,19.074732320717132,0.8125,64.21875
2559755,19.814678784860558,0.90625,69.0
2569922,19.944658864541836,0.96875,66.40625
2580180,19.962711653386457,0.96875,66.8125
2590443,19.927633217131486,0.9375,74.84375
2600816,20.03131225099602,1.0,64.5
2611312,19.942231075697215,0.96875,66.3125
2621658,20.057706673306775,1.0,64.90625
2632122,19.79068102589642,0.90625,64.375
2642457,19.84838769920319,0.90625,69.09375
2652576,19.765313745019924,0.90625,65.34375
2662613,19.939523157370527,0.9375,70.9375
2673031,19.965481822709165,0.96875,66.96875
2683232,19.88667206175299,0.9375,66.1875
2693664,20.055963645418327,1.0,65.75
2703861,19.715512948207174,0.90625,66.59375
2713863,19.86494646414343,0.9375,69.46875
2724254,19.90042953187251,0.9375,65.78125
2734785,19.854643924302792,0.9375,68.0625
2745246,19.963303037848608,0.96875,64.5625
2755706,19.828156125498012,0.90625,72.90625
2765743,19.846706922310762,0.90625,71.0625
2776033,19.850784362549806,0.90625,68.59375
2786397,19.86905502988048,0.90625,71.59375
2796566,19.620798057768923,0.90625,65.3125
2806913,19.569721115537853,0.875,64.5625
2817222,19.653822211155383,0.875,67.59375
2827757,19.97379233067729,0.96875,61.90625
2837975,19.85184262948207,0.96875,62.3125
2848325,19.43158615537849,0.84375,70.15625
2858425,19.458198456175303,0.8125,70.125
2868881,19.7089765936255,0.90625,65.875
2878979,19.96003486055777,0.96875,63.9375
2889566,19.96348979083666,0.96875,67.84375
2899637,19.61631598605578,0.875,67.25
2909830,20.05639940239044,1.0,62.46875
2920267,20.035856573705182,1.0,63.03125
2930436,19.5929407370518,0.84375,78.8125
2940659,19.68914965139443,0.875,72.25
2950841,19.279818227091642,0.75,89.1875
2961172,20.036790338645417,1.0,62.75
2971372,19.82961902390439,0.90625,71.71875
2981896,19.85881474103586,0.90625,68.90625
2992060,20.050361055776897,1.0,64.875
3002495,19.90447584661355,0.9375,68.75
3012869,19.941857569721122,0.9375,68.90625
3023363,20.037973107569723,1.0,63.65625
3033857,19.783397659362556,0.90625,70.46875
3043944,19.402981822709172,0.78125,79.375
3054439,19.78268177290837,0.90625,70.5
3064507,19.79914716135459,0.90625,67.84375
3074551,19.871482818725106,0.9375,66.4375
3084814,19.64996264940239,0.875,64.46875
3095092,19.81106822709164,0.9375,67.40625
3105209,20.075385956175303,1.0,68.625
3115261,19.959972609561753,0.96875,69.84375
3125381,19.925641185258964,0.9375,67.21875
3135980,19.967380478087655,0.9375,73.84375
3146076,19.928566982071715,0.9375,67.90625
3156466,19.51783491035857,0.8125,67.40625
3166744,19.916926045816734,0.96875,65.25
3177269,19.861522659362556,0.90625,67.03125
3187755,19.84739168326694,0.875,76.625
3198243,20.03753735059761,1.0,64.0
