step,reward,win_rate,mean_steps
195,-0.25,0.0,53.9375
195,-0.25,0.0,53.9375
10353,-0.28125,0.0,58.5625
20358,0.0,0.0,60.0
30788,-0.21875,0.0,54.875
41168,-0.5,0.0,49.8125
51195,-0.6875,0.0,37.53125
61327,-0.875,0.0,33.09375
71553,-0.6875,0.0625,32.21875
81609,-0.8125,0.0,33.875
195,-0.25,0.0,53.9375
10353,-0.28125,0.0,58.5625
20358,0.0,0.0,60.0
30788,-0.21875,0.0,54.875
41168,-0.5,0.0,49.8125
51195,-0.6875,0.0,37.53125
61327,-0.875,0.0,33.09375
71553,-0.6875,0.0625,32.21875
81609,-0.8125,0.0,33.875
91827,-0.625,0.0625,36.71875
101903,-0.46875,0.21875,29.9375
112022,-0.28125,0.25,35.96875
122216,-0.125,0.375,31.96875
132450,0.03125,0.46875,31.15625
142630,0.1875,0.5625,30.1875
152630,0.375,0.6875,27.0
162825,-0.25,0.375,27.0
172873,0.21875,0.59375,28.4375
183050,0.3125,0.65625,26.46875
193159,0.3125,0.65625,27.125
203290,0.625,0.8125,27.15625
213328,0.4375,0.71875,26.34375
