step,reward,win_rate,mean_steps
255,0.0,0.0,60.0
10527,-0.0625,0.0,58.09375
20700,-0.875,0.03125,32.53125
30837,-0.53125,0.0625,41.90625
255,0.0,0.0,60.0
255,0.0,0.0,60.0
255,0.0,0.0,60.0
255,0.0,0.0,60.0
255,0.0,0.0,60.0
255,0.0,0.0,60.0
255,0.0,0.0,60.0
255,0.0,0.0,60.0
255,-0.9375,0.0,33.5625
255,-0.9375,0.0,33.5625
255,-0.9375,0.0,33.5625
10425,-1.0,0.0,24.875
255,-0.9375,0.0,33.5625
255,-0.9375,0.0,33.5625
255,-0.9375,0.0,33.5625
255,0.0,0.0,60.0
255,0.0,0.0,60.0
255,-0.9375,0.0,33.5625
255,-0.9375,0.0,33.5625
255,-0.9375,0.0,33.5625
255,-0.9375,0.0,33.5625
255,-0.9375,0.0,33.5625
255,-0.9375,0.0,33.5625
255,-0.9375,0.0,33.5625
10370,-0.28125,0.0,51.6875
20372,-0.3125,0.34375,24.53125
30392,-0.125,0.4375,24.71875
40521,-0.8125,0.09375,22.65625
50570,-0.625,0.1875,20.375
60651,0.0625,0.53125,23.34375
70750,-0.3125,0.34375,21.5
80759,0.6875,0.84375,23.875
90889,0.0,0.5,22.65625
100986,0.4375,0.71875,23.96875
111109,0.3125,0.65625,23.125
121201,0.0625,0.53125,23.4375
131365,0.4375,0.71875,24.71875
141452,0.25,0.625,24.625
151470,0.625,0.8125,25.0
161541,0.5625,0.78125,26.0625
171654,0.5625,0.78125,25.875
181683,0.625,0.8125,23.6875
191706,0.5625,0.78125,24.625
201881,0.375,0.6875,25.40625
212063,0.625,0.8125,26.0625
222184,0.625,0.8125,25.59375
232250,0.5,0.75,24.59375
242260,0.625,0.8125,25.21875
252323,0.6875,0.84375,25.21875
262352,0.46875,0.71875,26.625
272461,0.375,0.6875,25.40625
282639,0.5625,0.78125,25.5625
292674,0.75,0.875,26.53125
302768,0.75,0.875,26.0625
312911,0.6875,0.84375,26.0625
323066,0.625,0.8125,25.28125
333273,0.5,0.75,25.625
343357,0.25,0.625,25.71875
353512,-0.125,0.4375,25.53125
363600,0.625,0.8125,24.21875
373677,0.75,0.875,26.75
383745,0.8125,0.90625,26.625
393869,0.75,0.875,26.15625
404075,0.8125,0.90625,25.84375
414228,0.75,0.875,25.8125
424244,0.875,0.9375,27.28125
434360,0.625,0.8125,26.21875
444483,0.8125,0.90625,27.5
454600,0.8125,0.90625,26.53125
464745,0.9375,0.96875,26.03125
474958,0.875,0.9375,26.34375
485110,0.8125,0.90625,26.40625
495133,0.9375,0.96875,25.6875
505306,0.6875,0.84375,27.34375
515450,0.9375,0.96875,26.78125
525615,1.0,1.0,26.75
535630,0.75,0.875,27.21875
545743,0.9375,0.96875,26.3125
555760,0.75,0.875,25.9375
565763,0.875,0.9375,26.65625
575807,1.0,1.0,25.78125
585957,0.9375,0.96875,25.34375
596011,0.875,0.9375,27.09375
606051,0.9375,0.96875,26.25
616249,0.8125,0.90625,26.5625
626372,0.9375,0.96875,26.28125
636496,1.0,1.0,25.375
646632,1.0,1.0,26.53125
656657,1.0,1.0,26.875
666774,0.9375,0.96875,25.96875
676983,1.0,1.0,25.78125
687036,1.0,1.0,25.875
697118,1.0,1.0,26.0
707224,0.8125,0.90625,26.125
717405,0.875,0.9375,26.5625
727561,0.9375,0.96875,26.96875
737704,0.9375,0.96875,26.5625
747844,0.9375,0.96875,26.875
757981,1.0,1.0,26.625
768155,0.875,0.9375,26.5625
778173,0.9375,0.96875,26.375
788341,0.875,0.9375,26.09375
798425,0.9375,0.96875,26.875
808626,1.0,1.0,26.375
818787,0.9375,0.96875,26.625
828840,0.9375,0.96875,25.5625
839003,0.9375,0.96875,25.5625
849202,0.9375,0.96875,27.09375
859278,1.0,1.0,25.9375
869410,1.0,1.0,26.125
879549,1.0,1.0,26.78125
889731,0.9375,0.96875,26.78125
899881,0.875,0.9375,26.8125
909951,1.0,1.0,26.0625
920029,0.9375,0.96875,25.90625
930193,1.0,1.0,26.59375
940215,1.0,1.0,26.46875
950353,1.0,1.0,27.0625
960546,1.0,1.0,26.75
970631,1.0,1.0,26.46875
980698,1.0,1.0,25.96875
990882,1.0,1.0,26.96875
1001021,1.0,1.0,27.4375
1011054,1.0,1.0,26.0625
1021235,1.0,1.0,26.21875
1031342,1.0,1.0,25.875
1041377,0.875,0.9375,27.03125
1051384,1.0,1.0,26.40625
1061547,0.9375,0.96875,26.90625
1071574,0.9375,0.96875,26.875
1081589,0.75,0.875,27.96875
1091725,0.9375,0.96875,27.21875
1101887,1.0,1.0,27.46875
1111933,1.0,1.0,25.8125
1122137,1.0,1.0,26.1875
1132283,1.0,1.0,26.0
1142324,1.0,1.0,26.1875
1152370,0.9375,0.96875,27.0625
1162514,1.0,1.0,25.65625
1172550,1.0,1.0,25.75
1182630,0.9375,0.96875,27.15625
1192670,1.0,1.0,26.40625
1202814,1.0,1.0,26.5625
1212876,0.9375,0.96875,25.5625
1222989,0.9375,0.96875,26.46875
1233039,1.0,1.0,27.9375
1243102,1.0,1.0,27.96875
1253254,1.0,1.0,25.4375
1263337,1.0,1.0,24.8125
1273354,1.0,1.0,26.96875
1283363,1.0,1.0,26.28125
1293463,1.0,1.0,26.53125
1303641,1.0,1.0,27.59375
1313702,1.0,1.0,27.15625
1323716,1.0,1.0,26.9375
1333874,1.0,1.0,27.59375
1343908,0.9375,0.96875,26.375
1353995,1.0,1.0,26.78125
1364134,0.9375,0.96875,27.03125
1374251,1.0,1.0,26.3125
1384267,1.0,1.0,25.84375
1394467,1.0,1.0,26.6875
1404534,0.9375,0.96875,26.21875
1414625,1.0,1.0,25.875
1424717,1.0,1.0,26.71875
1434904,1.0,1.0,25.90625
1445012,1.0,1.0,27.15625
1455045,0.9375,0.96875,25.59375
1465217,1.0,1.0,26.65625
1475357,1.0,1.0,25.53125
1485452,1.0,1.0,26.75
1495624,1.0,1.0,28.0
1505758,1.0,1.0,26.96875
1515896,1.0,1.0,26.4375
1525992,1.0,1.0,26.71875
1536196,1.0,1.0,26.875
1546327,1.0,1.0,27.59375
1556369,1.0,1.0,26.375
1566546,1.0,1.0,27.6875
1576734,1.0,1.0,26.78125
1586896,1.0,1.0,26.5625
1597058,1.0,1.0,27.25
1607206,1.0,1.0,26.09375
1617319,1.0,1.0,26.28125
1627468,1.0,1.0,26.46875
1637536,1.0,1.0,27.34375
1647704,1.0,1.0,25.9375
1657760,1.0,1.0,26.15625
1667921,1.0,1.0,26.65625
1678043,1.0,1.0,26.75
1688220,1.0,1.0,26.6875
1698258,1.0,1.0,25.71875
1708326,1.0,1.0,26.59375
1718460,1.0,1.0,26.5
1728575,1.0,1.0,27.125
1738593,0.9375,0.96875,26.09375
1748599,1.0,1.0,27.03125
1758785,1.0,1.0,26.4375
1768852,1.0,1.0,26.28125
1778863,1.0,1.0,27.21875
1788992,0.9375,0.96875,27.15625
1799050,1.0,1.0,27.21875
1809136,1.0,1.0,26.4375
1819275,1.0,1.0,26.28125
1829401,1.0,1.0,26.0
1839441,1.0,1.0,26.59375
1849577,1.0,1.0,27.09375
1859750,1.0,1.0,26.5625
1869756,1.0,1.0,26.75
1879830,1.0,1.0,27.03125
1890002,1.0,1.0,26.5
1900138,0.9375,0.96875,26.9375
1910208,1.0,1.0,26.0625
1920358,1.0,1.0,27.3125
1930506,1.0,1.0,25.40625
1940646,1.0,1.0,27.84375
1950663,1.0,1.0,25.84375
1960827,1.0,1.0,26.4375
1970899,0.9375,0.96875,27.875
1980996,1.0,1.0,27.125
1991205,1.0,1.0,27.125
2001413,1.0,1.0,28.40625
2011516,1.0,1.0,26.875
2021556,1.0,1.0,26.71875
2031702,1.0,1.0,28.09375
2041839,1.0,1.0,27.1875
2051893,1.0,1.0,27.84375
2061998,1.0,1.0,23.875
2072089,1.0,1.0,27.96875
2082230,1.0,1.0,26.25
2092368,1.0,1.0,26.09375
2102532,1.0,1.0,25.28125
2112634,1.0,1.0,26.21875
2122699,1.0,1.0,28.40625
2132704,1.0,1.0,24.5625
2142866,1.0,1.0,21.8125
255,0.0,0.0,60.0
2152916,1.0,1.0,21.625
10527,-0.0625,0.0,58.09375
2163030,1.0,1.0,24.875
20700,-0.875,0.03125,32.53125
2173190,1.0,1.0,22.78125
30837,-0.53125,0.0625,41.90625
2183392,1.0,1.0,25.4375
40845,0.125,0.5625,28.90625
2193407,0.9375,0.96875,27.375
50896,-0.5,0.25,26.75
2203468,1.0,1.0,25.09375
60936,-0.1875,0.40625,24.28125
2213472,1.0,1.0,23.0
71058,-0.5625,0.21875,21.96875
2223614,1.0,1.0,20.5
81228,0.375,0.6875,24.15625
2233793,1.0,1.0,24.15625
91239,-0.25,0.375,24.3125
2243956,1.0,1.0,20.6875
101391,-0.1875,0.40625,23.15625
2254030,1.0,1.0,21.03125
111394,-0.375,0.3125,25.3125
2264190,1.0,1.0,21.28125
121473,-0.125,0.4375,26.03125
2274286,1.0,1.0,22.40625
131487,-0.375,0.3125,24.875
2284316,1.0,1.0,22.21875
141639,0.46875,0.71875,27.65625
2294389,1.0,1.0,23.84375
151651,0.1875,0.59375,24.9375
161692,0.4375,0.71875,27.65625
2304442,1.0,1.0,20.46875
171882,0.0625,0.53125,28.21875
2314506,1.0,1.0,20.75
181964,0.5,0.75,27.125
2324619,1.0,1.0,20.15625
192021,0.875,0.9375,25.9375
2334636,1.0,1.0,21.40625
202088,0.25,0.625,26.5
2344808,1.0,1.0,21.46875
212273,0.375,0.6875,24.1875
222428,0.875,0.9375,26.9375
2354883,1.0,1.0,25.5625
