step,reward,win_rate,mean_steps
368,-1.0,0.0,50.46875
10578,-0.9375,0.0,69.1875
368,-1.0,0.0,50.46875
368,-1.0,0.0,50.46875
368,-1.0,0.0,50.46875
368,-1.0,0.0,50.46875
368,-1.0,0.0,50.46875
10425,-1.0,0.0,56.4375
20446,-1.0,0.0,51.71875
30660,-1.0,0.0,43.625
40924,-1.0,0.0,44.09375
51085,-1.0,0.0,46.0625
61331,-1.0,0.0,47.625
71573,-1.0,0.0,44.28125
81762,-1.0,0.0,43.03125
91914,-1.0,0.0,42.25
102028,-1.0,0.0,44.375
112224,-1.0,0.0,44.5625
122493,-1.0,0.0,44.21875
132666,-0.96875,0.0,47.9375
142677,-1.0,0.0,44.03125
152959,-1.0,0.0,44.46875
163227,-1.0,0.0,41.625
173540,-0.96875,0.0,45.40625
183649,-1.0,0.0,42.28125
193820,-1.0,0.0,44.5
203858,-0.96875,0.0,47.875
213913,-1.0,0.0,42.4375
224207,-0.9375,0.0,52.65625
234303,-1.0,0.0,44.78125
244461,-0.96875,0.0,47.53125
254771,-1.0,0.0,46.0625
264993,-1.0,0.0,46.21875
275115,-0.96875,0.0,51.5625
285415,-1.0,0.0,49.84375
295515,-0.96875,0.0,50.40625
305651,-1.0,0.0,45.75
315798,-1.0,0.0,44.5
325815,-1.0,0.0,44.75
336103,-1.0,0.0,47.03125
346317,-1.0,0.0,46.0625
356354,-0.96875,0.0,50.15625
366695,-1.0,0.0,48.21875
376816,-0.96875,0.0,52.9375
387092,-0.9375,0.0,54.71875
397139,-1.0,0.0,45.40625
407353,-0.96875,0.0,52.5
417470,-1.0,0.0,46.5625
427761,-0.96875,0.0,49.125
437991,-1.0,0.0,51.3125
448005,-0.96875,0.0,46.71875
458022,-0.96875,0.0,50.1875
468237,-0.9375,0.0,57.1875
478420,-0.96875,0.0,53.0
488763,-0.9375,0.0,57.25
499075,-0.9375,0.0,55.625
509281,-0.9375,0.0,58.65625
519328,-0.96875,0.0,53.9375
529344,-0.9375,0.0,58.96875
539609,-0.8125,0.0,71.8125
550097,-0.65625,0.0,93.9375
560649,-0.21875,0.0,162.84375
570773,-0.5625,0.0,105.0625
581012,-0.9375,0.0,72.3125
591138,-0.25,0.0,145.4375
602347,-0.0625,0.0,162.9375
613349,-0.0625,0.0,165.09375
624043,-0.15625,0.0,157.78125
634687,-0.375,0.0,132.40625
645228,-0.375,0.0,133.4375
655596,-0.46875,0.0,122.78125
666395,-0.5,0.0,120.4375
676977,-0.25,0.0,144.8125
687357,-0.6875,0.0,104.125
697889,-0.71875,0.0,100.40625
708092,-0.65625,0.0,110.1875
718646,-0.5625,0.0,121.21875
729557,-0.28125,0.0,143.5
