step,reward,win_rate,mean_steps
368,-0.71875,0.0,91.78125
10707,-0.59375,0.0,105.15625
20881,-0.9375,0.0,53.59375
30931,-0.96875,0.0,48.96875
40964,-0.96875,0.0,47.4375
51000,-1.0,0.0,46.21875
61312,-0.9375,0.0,53.21875
71387,-0.96875,0.0,53.875
81574,-1.0,0.0,49.875
91692,-1.0,0.0,46.625
101976,-1.0,0.0,48.53125
112119,-1.0,0.0,45.78125
122404,-0.96875,0.0,47.15625
132520,-0.9375,0.0,53.15625
142593,-0.96875,0.0,47.125
152767,-0.9375,0.0,51.8125
162986,-0.9375,0.0,51.09375
173068,-1.0,0.0,44.0
183210,-0.9375,0.0,49.84375
193394,-0.96875,0.0,46.625
203453,-0.96875,0.0,47.375
213676,-1.0,0.0,43.4375
223763,-1.0,0.0,43.59375
234054,-1.0,0.0,43.0
244068,-1.0,0.0,43.5
254133,-0.9375,0.0,51.8125
264420,-1.0,0.0,45.0
274658,-1.0,0.0,44.0
284694,-1.0,0.0,45.28125
294829,-1.0,0.0,42.6875
305109,-0.96875,0.0,47.21875
315211,-1.0,0.0,43.53125
325567,-0.96875,0.0,48.375
335788,-1.0,0.0,43.625
346060,-0.96875,0.0,47.78125
356184,-0.96875,0.0,48.59375
366344,-1.0,0.0,46.09375
376407,-0.90625,0.0,57.96875
386507,-0.9375,0.0,53.8125
396579,-0.90625,0.0,56.65625
407041,-0.96875,0.0,49.0
417497,-0.96875,0.0,48.9375
427858,-0.96875,0.0,49.3125
438056,-1.0,0.0,47.875
448325,-0.96875,0.0,42.28125
458413,-1.0,0.0,44.40625
468737,-0.96875,0.0,48.4375
478982,-0.96875,0.0,49.3125
489250,-0.96875,0.0,49.15625
499546,-0.90625,0.0,59.53125
509764,-0.9375,0.0,51.8125
520225,-1.0,0.0,48.34375
530284,-0.96875,0.0,50.28125
540579,-1.0,0.0,45.3125
550743,-1.0,0.0,48.46875
560772,-0.96875,0.0,53.3125
570878,-0.9375,0.0,55.125
580955,-0.90625,0.0,57.21875
591207,-1.0,0.0,45.3125
601469,-1.0,0.0,48.21875
611596,-0.96875,0.0,51.625
621803,-0.96875,0.0,52.84375
632022,-0.96875,0.0,53.4375
642241,-0.96875,0.0,51.15625
652573,-1.0,0.0,47.65625
662902,-0.9375,0.0,56.4375
672942,-0.96875,0.0,52.625
683039,-0.96875,0.0,53.46875
693063,-0.9375,0.0,58.4375
703160,-0.9375,0.0,55.34375
713258,-1.0,0.0,47.28125
723451,-1.0,0.0,47.15625
733536,-1.0,0.0,45.875
743800,-1.0,0.0,46.03125
754072,-1.0,0.0,45.84375
764152,-0.96875,0.0,51.46875
774314,-0.9375,0.0,55.25
784567,-0.90625,0.0,60.6875
