step,reward,win_rate,mean_steps
368,-1.0,0.0,47.09375
10491,-1.0,0.0,52.03125
20794,-0.96875,0.0,54.40625
30850,-0.96875,0.0,49.28125
40883,-1.0,0.0,43.46875
51071,-0.9375,0.0,56.3125
61179,-1.0,0.0,45.71875
71374,-1.0,0.0,44.84375
81747,-1.0,0.0,44.53125
92034,-0.96875,0.0,46.0625
102253,-1.0,0.0,43.5
112317,-0.96875,0.0,47.9375
122380,-1.0,0.0,43.96875
132622,-1.0,0.0,45.375
142963,-1.0,0.0,44.125
153195,-1.0,0.0,44.375
163411,-1.0,0.0,44.90625
173535,-1.0,0.0,41.875
183691,-1.0,0.0,41.71875
193737,-1.0,0.0,42.5
203889,-0.96875,0.0,46.5625
214209,-0.96875,0.0,45.53125
224415,-0.96875,0.0,46.9375
234417,-1.0,0.0,43.375
244603,-1.0,0.0,45.96875
254648,-0.96875,0.0,48.0
264828,-1.0,0.0,46.03125
274859,-1.0,0.0,42.90625
285024,-1.0,0.0,44.75
295081,-1.0,0.0,42.96875
305092,-1.0,0.0,44.71875
315266,-0.96875,0.0,48.9375
325271,-1.0,0.0,44.46875
335656,-1.0,0.0,44.8125
345732,-0.96875,0.0,49.09375
356057,-0.9375,0.0,51.5625
366392,-1.0,0.0,44.6875
376544,-1.0,0.0,43.09375
386660,-1.0,0.0,46.21875
396682,-0.96875,0.0,47.78125
406712,-0.96875,0.0,48.59375
416836,-0.96875,0.0,46.0625
427232,-1.0,0.0,43.59375
437344,-0.96875,0.0,48.65625
447465,-0.9375,0.0,47.125
457495,-0.90625,0.0,44.0
467666,-0.96875,0.0,48.6875
477970,-0.96875,0.0,47.71875
488225,-1.0,0.0,45.40625
498387,-0.9375,0.0,51.65625
508653,-1.0,0.0,43.84375
518687,-0.96875,0.0,49.5625
528752,-0.9375,0.0,52.96875
538967,-0.96875,0.0,47.84375
548984,-1.0,0.0,43.90625
559116,-1.0,0.0,44.625
569402,-0.9375,0.0,53.9375
579419,-1.0,0.0,45.3125
589452,-0.96875,0.0,49.25
599634,-1.0,0.0,45.625
609781,-1.0,0.0,47.25
619914,-0.96875,0.0,51.6875
629968,-1.0,0.0,46.75
640210,-0.96875,0.0,51.8125
650362,-0.96875,0.0,52.0
660659,-0.9375,0.0,53.96875
670797,-0.96875,0.0,54.34375
680922,-0.9375,0.0,56.9375
691302,-0.96875,0.0,52.4375
701330,-0.96875,0.0,53.34375
711731,-0.90625,0.0,58.71875
722029,-0.96875,0.0,50.28125
732119,-0.96875,0.0,51.40625
742412,-1.0,0.0,47.5625
752689,-1.0,0.0,48.84375
762781,-1.0,0.0,51.84375
772846,-1.0,0.0,49.5625
782912,-0.96875,0.0,55.15625
793066,-1.0,0.0,47.875
803217,-1.0,0.0,50.84375
813316,-0.96875,0.0,52.59375
823588,-0.96875,0.0,50.0
833701,-1.0,0.0,47.65625
843759,-0.96875,0.0,54.5
854123,-1.0,0.0,47.21875
864243,-0.84375,0.0,68.75
874546,-0.96875,0.0,51.25
884604,-1.0,0.0,48.90625
894631,-0.96875,0.0,51.0
904812,-0.90625,0.0,58.5625
915262,-1.0,0.0,44.34375
925267,-0.96875,0.0,50.34375
935434,-1.0,0.0,46.3125
945574,-1.0,0.0,45.6875
955832,-1.0,0.0,45.5625
966341,-0.90625,0.0,57.59375
976711,-0.9375,0.0,53.75
986859,-0.9375,0.0,54.3125
997007,-0.96875,0.0,52.375
1007518,-0.90625,0.0,59.1875
1017986,-1.0,0.0,46.125
1028186,-1.0,0.0,49.9375
1038212,-0.9375,0.0,55.75
1048385,-0.875,0.0,65.5
1058517,-0.96875,0.0,50.71875
1068985,-0.96875,0.0,54.65625
1079344,-0.96875,0.0,53.375
1089932,-0.96875,0.0,52.71875
1099948,-1.0,0.0,48.03125
1110039,-0.90625,0.0,58.46875
1120050,-0.9375,0.0,57.53125
1130404,-1.0,0.0,48.125
1140549,-1.0,0.0,47.71875
1150714,-0.9375,0.0,56.46875
1160899,-0.9375,0.0,54.875
1171251,-0.90625,0.0,59.09375
1181334,-1.0,0.0,46.4375
1191502,-0.90625,0.0,59.5
1201616,-1.0,0.0,50.5
1211879,-0.96875,0.0,53.09375
1222212,-0.9375,0.0,57.34375
1232234,-0.90625,0.0,59.34375
1242702,-0.90625,0.0,62.875
1253026,-0.9375,0.0,55.53125
1263352,-1.0,0.0,48.84375
1273481,-0.96875,0.0,53.84375
1283490,-0.9375,0.0,55.5625
1293799,-0.9375,0.0,56.96875
1304133,-1.0,0.0,49.5625
1314627,-0.9375,0.0,57.0625
1324921,-0.9375,0.0,56.9375
1335074,-0.96875,0.0,52.5
1345296,-1.0,0.0,49.5625
1355597,-0.9375,0.0,48.09375
1365676,-0.9375,0.0,57.78125
1375755,-1.0,0.0,51.625
1385887,-0.9375,0.0,57.25
1396504,-0.96875,0.0,53.84375
1407026,-0.9375,0.0,56.84375
1417204,-0.96875,0.0,54.34375
1427312,-0.9375,0.0,59.0625
1437409,-0.96875,0.0,54.09375
1447495,-0.8125,0.0,71.625
1457858,-0.875,0.0,70.9375
1468107,-0.8125,0.0,75.3125
1478186,-0.84375,0.0,72.25
1488323,-0.78125,0.0,81.09375
1498651,-0.78125,0.0,80.09375
1508755,-0.875,0.0,71.40625
1519031,-0.71875,0.0,84.28125
1529261,-0.875,0.0,67.75
1539467,-0.875,0.0,67.5625
1549920,-0.96875,0.0,56.46875
1559991,-0.78125,0.0,77.8125
1570282,-0.96875,0.0,56.34375
1580543,-0.90625,0.0,63.625
1590891,-0.9375,0.0,58.0
1601040,-0.875,0.0,67.4375
1611292,-0.875,0.0,67.90625
1621628,-0.875,0.0,68.0
1631973,-0.9375,0.0,60.71875
1642195,-0.9375,0.0,62.28125
1652274,-0.84375,0.0,72.46875
1662535,-0.875,0.0,69.53125
1672653,-0.9375,0.0,63.9375
1682725,-0.90625,0.0,65.625
1692773,-0.8125,0.0,78.75
1703327,-0.84375,0.0,71.8125
1713695,-0.96875,0.0,57.5625
1723700,-0.9375,0.0,65.5625
1734104,-0.90625,0.0,70.84375
1744259,-0.875,0.0,67.8125
1754825,-0.9375,0.0,59.21875
1765120,-0.84375,0.0,70.34375
1775391,-0.9375,0.0,58.71875
1785639,-0.875,0.0,66.5
1795751,-0.9375,0.0,60.40625
1806030,-1.0,0.0,55.25
1816255,-0.9375,0.0,60.75
1826322,-0.96875,0.0,56.625
1836622,-0.84375,0.0,74.15625
1847013,-0.84375,0.0,74.84375
1857198,-0.90625,0.0,68.5
1867505,-0.90625,0.0,66.46875
1877823,-0.8125,0.0,76.65625
1888209,-0.96875,0.0,56.5
1898383,-0.90625,0.0,63.46875
1908769,-0.90625,0.0,65.9375
1918859,-0.875,0.0,69.125
1929261,-0.84375,0.0,72.71875
1939669,-0.78125,0.0,79.09375
1949966,-0.96875,0.0,56.3125
1960211,-0.96875,0.0,55.65625
1970533,-0.90625,0.0,60.03125
1980856,-0.90625,0.0,65.59375
1991121,-0.75,0.0,84.21875
2001532,-0.8125,0.0,76.65625
2012066,-0.875,0.0,68.03125
2022232,-0.875,0.0,67.1875
2032779,-0.90625,0.0,66.8125
2042798,-0.875,0.0,72.09375
2053013,-0.9375,0.0,65.59375
2063532,-0.78125,0.0,80.53125
2073533,-0.8125,0.0,76.3125
2083593,-0.78125,0.0,81.8125
2093802,-0.875,0.0,72.59375
2104336,-0.90625,0.0,65.125
2114443,-0.9375,0.0,60.09375
2124876,-0.84375,0.0,75.75
2135123,-0.78125,0.0,82.4375
2145439,-0.75,0.0,86.875
2155637,-0.75,0.0,83.0625
2165783,-0.875,0.0,69.78125
2176206,-0.90625,0.0,66.375
2186539,-0.875,0.0,67.375
2196683,-0.84375,0.0,75.4375
2206818,-0.75,0.0,84.21875
2217078,-0.84375,0.0,75.71875
2227419,-0.65625,0.0,90.4375
2237805,-0.78125,0.0,82.75
2248276,-0.8125,0.0,77.75
2258670,-0.75,0.0,84.375
2268749,-0.8125,0.0,78.75
2279209,-0.8125,0.0,82.28125
2289576,-0.78125,0.0,82.78125
2299967,-0.90625,0.0,70.1875
2310022,-0.71875,0.0,89.3125
2320333,-0.875,0.0,69.125
2330388,-0.90625,0.0,62.3125
2340808,-0.84375,0.0,71.5625
2351595,-0.84375,0.0,76.0
2361711,-0.90625,0.0,68.625
2372068,-0.6875,0.0,93.625
2382072,-0.75,0.0,90.03125
2392483,-0.84375,0.0,76.75
2403118,-0.8125,0.0,79.46875
2413612,-0.6875,0.0,93.25
2423892,-0.71875,0.0,89.09375
2434481,-0.75,0.03125,85.15625
2444772,-0.75,0.0,84.875
2455352,-0.84375,0.0,74.25
2465465,-0.625,0.0,102.75
2475593,-0.90625,0.0,71.53125
2485783,-0.90625,0.0,72.84375
2496440,-0.9375,0.0,67.15625
2506541,-0.875,0.0,77.375
2517150,-0.84375,0.0,75.3125
2527368,-0.9375,0.0,65.4375
2537834,-0.9375,0.0,67.3125
2548170,-0.875,0.0,73.0
2558397,-0.90625,0.0,69.71875
2568989,-0.9375,0.0,66.65625
2579251,-0.96875,0.0,61.65625
2589379,-0.875,0.0,74.34375
2599503,-0.875,0.0,76.9375
2609782,-0.9375,0.0,75.3125
2620268,-0.96875,0.0,66.46875
2630622,-0.875,0.0,78.65625
2640921,-0.9375,0.0,68.6875
2651312,-0.84375,0.0,73.625
2661850,-0.8125,0.0,84.21875
2672399,-0.78125,0.0,87.78125
2682807,-0.75,0.0,87.46875
2692835,-0.90625,0.0,74.84375
2703074,-0.84375,0.0,78.03125
2713611,-0.8125,0.0,81.96875
2723994,-0.59375,0.03125,102.125
2734200,-0.78125,0.0,89.125
2744686,-0.78125,0.0,87.6875
2754958,-0.90625,0.0,73.78125
2765314,-0.8125,0.0,82.625
2775872,-0.78125,0.0,89.3125
2786349,-0.90625,0.0,75.09375
2796577,-0.90625,0.0,74.09375
2807110,-0.84375,0.0,81.625
2817235,-0.90625,0.0,77.71875
2827815,-0.84375,0.0,83.53125
2838055,-0.875,0.0,79.0625
2848729,-0.96875,0.0,71.53125
2859196,-0.90625,0.0,75.375
2869736,-0.96875,0.0,67.78125
2880262,-0.875,0.0,82.9375
2890418,-0.78125,0.0,89.6875
2900594,-0.78125,0.03125,80.4375
2911100,-0.625,0.0,103.53125
2921135,-0.875,0.0,75.4375
2931587,-0.78125,0.03125,83.3125
2941891,-0.71875,0.0,97.4375
2952436,-0.875,0.0,81.96875
2962659,-0.84375,0.0,85.59375
2972809,-0.84375,0.0,79.3125
2982918,-0.84375,0.0,78.28125
2993282,-0.90625,0.0,78.78125
3003619,-0.875,0.03125,72.8125
3013702,-0.78125,0.0,94.5625
3024055,-0.96875,0.0,77.34375
3034510,-0.8125,0.0,87.0
3044960,-0.84375,0.0,84.25
3055412,-0.90625,0.0,77.125
3065507,-0.78125,0.0,90.71875
3075955,-0.71875,0.03125,97.15625
3086534,-0.65625,0.0625,91.375
3096589,-0.75,0.0,98.71875
3106694,-0.8125,0.0,91.8125
3117362,-0.8125,0.0,90.03125
3127609,-0.6875,0.03125,92.625
3138099,-0.71875,0.0,98.09375
3148146,-0.65625,0.0,110.8125
3158424,-0.46875,0.09375,109.25
3168726,-0.6875,0.03125,100.1875
3179075,-0.625,0.03125,108.15625
3189576,-0.71875,0.0,98.625
3199660,-0.59375,0.0625,113.6875
3210122,-0.65625,0.03125,98.53125
3220754,-0.53125,0.09375,102.9375
3231329,-0.6875,0.0,107.8125
3241517,-0.75,0.0,99.8125
3252257,-0.65625,0.0,114.0625
3263173,-0.65625,0.03125,98.5625
3273323,-0.625,0.0,116.5625
3283415,-0.625,0.0,112.6875
3293530,-0.65625,0.03125,101.28125
3304254,-0.75,0.0,99.5625
3314306,-0.625,0.0,108.15625
3324552,-0.71875,0.03125,97.1875
3335104,-0.59375,0.0625,109.625
3345174,-0.71875,0.0,99.46875
3355841,-0.71875,0.03125,101.9375
3366030,-0.625,0.03125,108.1875
3376552,-0.59375,0.03125,115.34375
3386649,-0.75,0.0,102.5
3396668,-0.8125,0.03125,87.59375
3406679,-0.65625,0.125,89.78125
3416713,-0.8125,0.03125,85.0
3427442,-0.78125,0.0,99.28125
3437696,-0.6875,0.0,98.0625
3447719,-0.8125,0.03125,79.28125
3457795,-0.8125,0.0,85.0
3468113,-0.6875,0.0,101.9375
3478197,-0.90625,0.0,88.71875
3488839,-0.75,0.03125,94.125
3498932,-0.9375,0.0,79.53125
3509432,-0.875,0.0,84.34375
3519460,-0.84375,0.03125,84.71875
3529640,-0.8125,0.0,96.40625
3539659,-0.78125,0.0,100.9375
3549838,-0.8125,0.03125,90.6875
3560069,-0.65625,0.03125,103.25
3570748,-0.78125,0.0625,87.75
3580755,-1.0,0.0,81.34375
3590828,-0.75,0.09375,87.78125
3601636,-0.75,0.09375,87.3125
3612050,-0.90625,0.03125,86.75
3622553,-0.84375,0.0625,85.90625
3632757,-0.8125,0.03125,93.625
3643351,-0.9375,0.0,89.21875
3653519,-0.875,0.03125,94.0
3664117,-0.71875,0.09375,88.6875
3674573,-0.8125,0.0,99.5
3685187,-0.71875,0.03125,102.53125
3695410,-0.75,0.09375,89.28125
3705921,-0.8125,0.03125,97.15625
3716534,-0.8125,0.0,102.59375
3726607,-0.75,0.03125,100.1875
3736873,-0.71875,0.0625,98.1875
3747266,-0.90625,0.0,93.21875
3757288,-0.75,0.0625,99.6875
3767668,-0.71875,0.0,110.0
3778228,-0.78125,0.03125,105.4375
3788843,-0.5,0.15625,103.0
3799500,-0.96875,0.0,93.84375
3810039,-0.65625,0.03125,113.5
3820364,-0.875,0.03125,90.40625
3831161,-0.65625,0.03125,110.71875
3841539,-0.65625,0.0625,109.09375
3851996,-0.59375,0.0625,116.03125
3862219,-0.65625,0.09375,103.46875
3872767,-0.78125,0.0625,97.625
3883354,-0.5,0.1875,91.125
3893741,-0.71875,0.09375,103.84375
3904011,-0.84375,0.0,96.875
3914197,-0.65625,0.125,88.84375
3924277,-0.5625,0.1875,95.5625
3934297,-0.625,0.15625,92.0625
3945025,-0.71875,0.09375,88.53125
3955300,-0.59375,0.125,101.25
3965446,-0.21875,0.34375,94.625
3976349,-0.375,0.15625,121.875
3986508,-0.5,0.125,101.21875
3996708,-0.625,0.125,94.53125
4006809,-0.5625,0.15625,94.875
4017270,-0.65625,0.125,76.8125
4027880,-0.6875,0.09375,94.96875
4038113,-0.8125,0.09375,77.03125
4048128,-0.40625,0.21875,108.0625
4058706,-0.8125,0.0625,93.75
4069269,-0.40625,0.1875,99.9375
4079419,-0.625,0.15625,91.65625
4090189,-0.4375,0.21875,92.1875
4100489,-0.625,0.1875,87.65625
4111229,-0.5,0.25,89.0625
4121590,-0.4375,0.1875,100.625
4131757,-0.84375,0.0625,87.0
4142104,-0.59375,0.15625,90.375
4152261,-0.6875,0.09375,97.9375
4162517,-0.3125,0.3125,94.21875
4173012,-0.75,0.09375,94.21875
4183800,-0.5625,0.125,102.8125
4194429,-0.28125,0.3125,96.21875
4205452,-0.53125,0.1875,103.90625
4216219,-0.28125,0.28125,112.75
4226822,-0.25,0.25,111.5
4237006,-0.375,0.25,98.84375
4247625,-0.25,0.34375,97.21875
4258477,-0.65625,0.125,100.71875
4268822,-0.5625,0.1875,91.5
4279377,-0.4375,0.21875,99.90625
4289649,-0.53125,0.1875,103.71875
4300415,-0.5,0.25,90.0
4310837,-0.71875,0.125,92.125
4321418,-0.3125,0.3125,92.65625
4331952,-0.34375,0.3125,89.15625
4342423,-0.375,0.28125,93.96875
4352846,-0.5625,0.21875,82.5
4363518,-0.28125,0.34375,96.65625
4373878,-0.28125,0.34375,96.5625
4384037,-0.28125,0.3125,101.75
4394214,-0.53125,0.21875,94.8125
4405050,-0.46875,0.25,105.375
4415585,-0.46875,0.25,90.28125
4425704,-0.375,0.25,104.375
4436468,-0.15625,0.375,103.28125
4446702,-0.25,0.34375,98.5
4457345,-0.34375,0.3125,93.625
4467713,0.0,0.4375,108.84375
4477973,-0.1875,0.3125,105.125
4488143,0.0,0.46875,110.6875
4498991,0.0,0.375,123.34375
4509503,0.09375,0.46875,118.0
4519996,0.25,0.59375,106.84375
4530021,0.3125,0.59375,112.21875
4540561,-0.1875,0.375,105.375
4551470,-0.03125,0.46875,107.84375
4561757,-0.28125,0.34375,97.90625
4572345,-0.125,0.40625,99.40625
4582504,0.15625,0.46875,114.90625
4593247,0.0,0.40625,119.09375
4603320,0.15625,0.53125,105.46875
4613714,0.09375,0.5,111.15625
4623869,-0.28125,0.3125,108.59375
4634093,-0.0625,0.46875,103.5625
4644792,-0.5,0.1875,100.0625
4655505,-0.25,0.28125,109.71875
4665968,-0.28125,0.28125,106.96875
4676646,-0.0625,0.40625,105.625
4686777,-0.1875,0.34375,107.40625
4696833,0.0,0.40625,113.59375
4707552,-0.03125,0.46875,100.5625
4718417,-0.3125,0.25,106.65625
4728945,-0.25,0.34375,101.875
4739109,-0.28125,0.28125,106.65625
4749120,0.03125,0.4375,112.09375
4759417,-0.03125,0.4375,107.53125
4770046,-0.09375,0.4375,104.40625
4780362,-0.28125,0.28125,112.46875
4790643,-0.25,0.375,94.03125
4801053,-0.25,0.3125,112.1875
4811686,-0.15625,0.375,95.09375
4822244,-0.3125,0.3125,96.40625
4832441,0.125,0.53125,105.71875
4843029,0.25,0.59375,102.25
4853430,-0.15625,0.40625,92.4375
4864087,0.3125,0.5625,122.71875
4874464,0.25,0.5625,114.9375
4884602,0.34375,0.625,109.21875
4894775,-0.1875,0.375,107.40625
4905238,0.03125,0.46875,110.0625
4915338,0.1875,0.5625,108.0625
4926008,0.3125,0.53125,122.53125
4936274,0.1875,0.5625,97.40625
4946442,0.0625,0.5,104.0625
4956801,-0.0625,0.4375,107.1875
4967484,0.0,0.46875,103.59375
4978001,0.0,0.375,137.15625
4988598,-0.03125,0.4375,108.15625
4998997,0.0,0.46875,106.03125
5009304,0.15625,0.53125,106.71875
5020053,0.0625,0.5,101.59375
5030187,0.25,0.59375,111.0
5040632,0.3125,0.625,99.46875
5051161,-0.0625,0.46875,100.09375
5061680,0.28125,0.59375,107.0625
5072191,0.0625,0.53125,99.875
5082681,0.25,0.59375,100.40625
5093045,0.28125,0.59375,114.9375
5103401,0.5,0.71875,109.03125
5113746,0.125,0.53125,114.40625
5123874,0.28125,0.59375,109.40625
5134215,0.6875,0.8125,117.0625
5144640,0.15625,0.5625,102.6875
5155263,0.34375,0.65625,107.84375
5165596,0.0625,0.46875,109.125
5176191,0.09375,0.53125,109.875
5186320,0.28125,0.59375,114.53125
5197014,0.21875,0.53125,115.40625
5207123,0.34375,0.65625,105.78125
5217841,0.40625,0.65625,116.5625
5228251,0.65625,0.8125,115.375
5238853,0.125,0.5,112.71875
5249301,0.09375,0.46875,110.96875
5259563,0.46875,0.6875,118.0625
5270491,0.375,0.625,124.0625
5281064,0.09375,0.53125,106.8125
5291865,0.25,0.5625,116.71875
5302020,0.125,0.53125,104.71875
5312550,0.15625,0.53125,113.28125
5323222,0.46875,0.6875,112.71875
5333862,0.46875,0.71875,110.15625
5344087,0.0,0.46875,105.28125
5354792,0.375,0.625,122.34375
5365127,0.46875,0.6875,116.84375
5375732,0.21875,0.5625,126.5
5386424,0.28125,0.59375,108.34375
5396800,0.375,0.59375,128.46875
5407515,0.375,0.65625,106.1875
5417994,0.28125,0.625,106.0625
5428344,0.625,0.78125,115.78125
5438439,0.40625,0.6875,105.25
5449128,0.0625,0.5,112.4375
5459604,0.65625,0.8125,119.53125
5470049,0.34375,0.625,106.09375
5480194,0.4375,0.6875,118.53125
5490638,0.5,0.71875,114.375
5500986,0.53125,0.75,122.4375
5511709,0.65625,0.8125,124.46875
5522732,0.71875,0.84375,116.75
5533758,0.4375,0.6875,117.1875
5544573,0.4375,0.6875,115.09375
5554958,0.84375,0.90625,126.0625
5565586,0.5,0.75,117.9375
5576526,0.53125,0.6875,135.09375
5587439,0.5,0.6875,124.09375
5597673,0.5,0.71875,133.46875
5608353,0.65625,0.78125,129.96875
5618603,0.6875,0.78125,131.25
5629390,0.3125,0.625,114.21875
5640254,0.40625,0.65625,121.8125
5650559,0.65625,0.8125,114.0
5660798,0.6875,0.8125,135.84375
5671453,0.46875,0.65625,139.71875
5681539,0.6875,0.8125,127.3125
5692283,0.53125,0.6875,138.125
5702845,0.53125,0.71875,127.65625
5713241,0.75,0.875,119.3125
5723862,0.6875,0.75,145.0
5734602,0.34375,0.625,132.21875
5745583,0.46875,0.65625,139.59375
5756636,0.59375,0.75,131.40625
5767293,0.46875,0.71875,126.71875
5778028,0.65625,0.8125,133.78125
5788933,0.46875,0.59375,146.8125
5799165,0.5,0.59375,146.65625
5809454,0.5625,0.6875,146.09375
5819455,0.875,0.875,128.84375
5830093,0.71875,0.71875,137.78125
5841020,0.8125,0.84375,142.84375
5851300,0.65625,0.75,141.5
5862085,0.625,0.6875,144.6875
5872623,0.75,0.84375,139.21875
5883762,0.65625,0.71875,146.3125
5894380,0.625,0.71875,141.34375
5904946,0.625,0.71875,145.8125
5915834,0.375,0.4375,159.5625
5925891,0.59375,0.71875,138.8125
5937076,0.59375,0.71875,140.03125
5948381,0.3125,0.40625,154.5625
5959313,0.4375,0.65625,129.71875
5969643,0.5,0.53125,154.75
5980091,0.78125,0.8125,141.90625
5990578,0.34375,0.40625,159.0625
6001453,0.5625,0.71875,146.21875
6011842,0.46875,0.625,146.96875
6022003,0.5,0.65625,143.0
6032813,0.4375,0.59375,141.75
6042968,0.375,0.65625,122.96875
6054116,0.28125,0.5,149.375
6064673,0.5625,0.6875,142.3125
6075304,0.40625,0.5,157.125
6085910,0.34375,0.53125,147.15625
6097034,0.3125,0.53125,148.28125
6107190,0.4375,0.625,139.34375
6117435,0.6875,0.78125,138.9375
6128545,0.21875,0.46875,138.625
6138735,0.59375,0.71875,142.5625
6148985,0.5,0.625,146.15625
6159626,0.59375,0.71875,143.875
6169867,0.28125,0.4375,150.90625
6180538,0.59375,0.6875,146.75
6190591,0.5,0.65625,147.65625
6201062,0.3125,0.5,149.21875
6211918,0.46875,0.59375,147.90625
6222739,0.15625,0.28125,157.46875
6233076,0.40625,0.59375,148.5
6243869,0.5625,0.6875,143.9375
6254892,0.25,0.4375,150.65625
6265849,0.53125,0.53125,161.5
6276878,0.65625,0.65625,153.5
6287395,0.5,0.59375,147.4375
6298177,0.4375,0.53125,152.90625
6308238,0.28125,0.28125,163.4375
6319106,0.46875,0.53125,156.5625
6329897,0.5,0.53125,154.71875
6340971,0.4375,0.5625,144.8125
6351966,0.5,0.5625,155.15625
6362119,0.53125,0.625,150.90625
6372984,0.78125,0.78125,146.71875
6383939,0.46875,0.53125,155.625
6394991,0.53125,0.5625,154.40625
6405443,0.375,0.40625,158.75
6415799,0.5625,0.59375,155.5
6426959,0.34375,0.4375,153.90625
6437029,0.5625,0.5625,153.53125
