step,reward,win_rate,mean_steps
205,1.599056603773585,0.0,26.34375
205,1.599056603773585,0.0,26.34375
10335,4.720518867924528,0.0,18.1875
20465,6.517688679245283,0.0,19.3125
30580,6.617924528301886,0.0,19.34375
40614,6.327830188679244,0.0,18.875
50718,6.779481132075472,0.0,19.40625
60832,6.59316037735849,0.0,19.0
70881,6.992924528301886,0.0,19.375
80937,6.870283018867925,0.0,19.28125
91028,6.9209905660377355,0.0,19.53125
101061,6.6120283018867925,0.0,19.15625
111069,6.95872641509434,0.0,19.28125
121133,6.912735849056602,0.0,18.96875
131208,6.870283018867925,0.0,19.03125
141280,7.19811320754717,0.0,19.71875
151381,7.143867924528302,0.0,19.25
161412,6.95872641509434,0.0,19.5
171538,7.0424528301886795,0.0,19.1875
181682,6.97877358490566,0.0,18.875
191760,6.971698113207546,0.0,19.15625
201847,7.0530660377358485,0.0,19.46875
211980,7.283018867924528,0.0,19.5625
222082,7.097877358490567,0.0,19.59375
232151,7.19811320754717,0.0,20.25
242207,7.015330188679245,0.0,20.46875
252344,7.222877358490566,0.0,20.96875
262438,7.28183962264151,0.0,20.625
272550,7.02122641509434,0.0,21.09375
282650,8.209905660377359,0.03125,21.5
292698,7.123820754716981,0.0,19.96875
302790,7.557783018867925,0.0,20.71875
312869,7.330188679245283,0.0,20.375
322962,2.2358490566037736,0.0,63.84375
333048,7.798349056603774,0.0,21.375
343212,7.576650943396227,0.0,21.03125
353281,8.087264150943396,0.03125,20.5625
363343,7.556603773584905,0.0,20.46875
373345,7.600235849056604,0.0,21.0
383470,7.981132075471699,0.0,21.125
393510,7.633254716981133,0.0,20.84375
403525,7.600235849056603,0.0,21.21875
413634,7.422169811320755,0.0,21.25
423713,8.586084905660378,0.0625,21.625
433843,8.372641509433963,0.03125,21.6875
443863,7.878537735849057,0.0,20.75
453971,8.274764150943396,0.0,21.625
463990,8.149764150943396,0.0,21.1875
474149,8.056603773584907,0.0,21.28125
484299,8.234669811320755,0.0,21.6875
494393,7.990566037735849,0.0,21.40625
504422,8.518867924528301,0.03125,21.65625
514424,8.07429245283019,0.0,21.4375
524437,9.692216981132077,0.09375,22.90625
534489,9.903301886792454,0.09375,23.09375
544521,9.311320754716983,0.03125,23.125
554683,8.871462264150944,0.03125,23.46875
564694,8.575471698113208,0.03125,21.53125
574819,8.987028301886793,0.03125,22.6875
584976,8.774764150943398,0.0,22.9375
595051,8.522405660377359,0.03125,21.90625
605099,8.988207547169814,0.0,22.75
615183,8.345518867924529,0.0,21.375
625360,9.339622641509436,0.0625,22.34375
635456,9.371462264150944,0.0625,22.4375
645514,9.454009433962266,0.0,23.4375
655658,8.930424528301888,0.0,23.0
665811,9.937500000000002,0.09375,23.21875
675925,8.797169811320755,0.03125,22.6875
685940,9.988207547169814,0.09375,23.25
695992,9.732311320754718,0.0625,23.15625
706043,9.637971698113208,0.0625,22.84375
716181,9.01061320754717,0.03125,22.46875
726292,9.08254716981132,0.03125,22.6875
736342,9.839622641509436,0.0625,23.75
746428,10.590801886792455,0.125,23.8125
756529,10.259433962264152,0.09375,24.09375
766592,11.08490566037736,0.15625,24.90625
776670,10.150943396226417,0.0625,24.65625
