step,reward,win_rate,mean_steps
205,-0.0625,0.0,69.625
10353,-0.5625,0.0,46.34375
20382,-1.0,0.0,19.5
30547,-1.0,0.0,19.59375
40655,-0.90625,0.0,25.65625
50786,-1.0,0.0,20.375
60787,-1.0,0.0,20.0625
205,-0.96875,0.0,26.34375
70922,-1.0,0.0,19.625
81009,-1.0,0.0,19.34375
10261,-1.0,0.0,17.6875
91090,-1.0,0.0,19.71875
20325,-1.0,0.0,19.28125
101150,-1.0,0.0,19.625
111200,-1.0,0.0,19.875
30441,-1.0,0.0,19.625
121296,-1.0,0.0,19.71875
131400,-1.0,0.0,19.53125
40511,-1.0,0.0,19.8125
141492,-1.0,0.0,20.0625
151626,-1.0,0.0,20.40625
50584,-1.0,0.0,19.75
161797,-0.96875,0.0,23.59375
171879,-0.96875,0.0,24.03125
60643,-1.0,0.0,19.875
181921,-1.0,0.0,22.875
192057,-1.0,0.0,23.875
70684,-1.0,0.0,19.09375
202186,-1.0,0.0,22.46875
212317,-1.0,0.0,23.65625
80695,-1.0,0.0,18.71875
222427,-0.96875,0.0,24.25
232440,-1.0,0.0,23.53125
90711,-1.0,0.0,18.875
242612,-1.0,0.0,23.75
252744,-0.75,0.125,23.90625
100783,-1.0,0.0,19.1875
262877,-1.0,0.0,23.0
273055,-0.9375,0.03125,24.5
110917,-1.0,0.0,18.625
283124,-1.0,0.0,23.625
120990,-1.0,0.0,18.90625
293164,-1.0,0.0,23.15625
303303,-0.9375,0.03125,23.625
131024,-1.0,0.0,19.09375
313474,-0.8125,0.09375,25.15625
141066,-1.0,0.0,18.8125
323552,-1.0,0.0,23.90625
333623,-1.0,0.0,24.96875
151111,-1.0,0.0,19.15625
343638,-0.8125,0.09375,24.96875
161219,-1.0,0.0,18.8125
353745,-1.0,0.0,25.125
363883,-0.875,0.0625,24.6875
171283,-1.0,0.0,18.8125
374031,-1.0,0.0,24.40625
181389,-1.0,0.0,19.15625
384091,-0.9375,0.03125,25.03125
191451,-1.0,0.0,19.03125
394174,-0.9375,0.03125,24.5
404181,-0.8125,0.09375,25.375
201530,-1.0,0.0,19.625
414306,-0.9375,0.03125,25.46875
211608,-1.0,0.0,19.125
424403,-1.0,0.0,24.28125
434557,-0.9375,0.03125,23.90625
221639,-1.0,0.0,19.75
444652,-0.9375,0.03125,24.34375
231692,-1.0,0.0,19.0
454800,-0.875,0.0625,26.28125
464826,-0.75,0.125,27.125
241723,-1.0,0.0,19.1875
474963,-0.8125,0.09375,27.21875
251815,-1.0,0.0,19.46875
261969,-1.0,0.0,19.8125
484965,-0.53125,0.21875,30.3125
495150,-0.5625,0.21875,27.53125
272088,-1.0,0.0,20.0625
505176,-0.5,0.25,28.4375
515320,-0.5625,0.21875,27.78125
282214,-1.0,0.0,20.03125
525322,-0.5,0.25,27.6875
292712,-0.78125,0.0,32.40625
535360,-0.3125,0.34375,28.34375
545487,-0.4375,0.28125,28.59375
302783,0.0,0.0,70.0
555561,-0.25,0.375,28.03125
312836,-1.0,0.0,22.0
565707,-0.5625,0.21875,28.34375
575867,0.0625,0.53125,29.21875
585922,-0.5625,0.21875,28.71875
322956,-1.0,0.0,19.375
595925,-0.4375,0.28125,28.6875
606017,-0.375,0.3125,28.90625
333068,-1.0,0.0,20.125
616175,-0.3125,0.34375,28.65625
626335,0.0625,0.53125,29.28125
343223,-1.0,0.0,19.4375
636431,-0.1875,0.40625,29.4375
646614,-0.4375,0.28125,28.96875
656615,-0.1875,0.40625,30.3125
353237,-1.0,0.0,20.65625
666641,-0.1875,0.40625,29.5625
676768,-0.1875,0.40625,29.65625
363238,-1.0,0.0,21.3125
686768,-0.3125,0.34375,30.0
696894,-0.3125,0.34375,29.84375
373370,-1.0,0.0,20.9375
707128,-0.0625,0.46875,30.1875
717260,-0.25,0.375,29.28125
383523,-1.0,0.0,21.1875
727346,0.03125,0.5,31.0625
737509,0.25,0.625,30.5625
747552,-0.0625,0.46875,31.1875
393587,-0.9375,0.03125,21.28125
757713,0.1875,0.59375,31.4375
767724,0.0625,0.53125,31.125
403669,-1.0,0.0,21.375
777729,-0.125,0.4375,29.75
787731,-0.25,0.375,31.625
413672,-1.0,0.0,21.0
797808,-0.0625,0.46875,31.03125
423762,-1.0,0.0,20.5
807864,-0.0625,0.4375,33.46875
818056,-0.125,0.4375,29.90625
433919,-0.9375,0.03125,21.40625
828144,-0.1875,0.40625,30.40625
443981,-1.0,0.0,20.59375
838238,-0.375,0.3125,30.28125
453985,-0.9375,0.03125,22.0
848279,-0.125,0.4375,30.90625
858298,0.25,0.625,30.59375
464032,-1.0,0.0,21.25
868355,0.1875,0.59375,31.09375
474118,-0.9375,0.03125,22.03125
878573,0.0625,0.53125,29.75
888573,-0.3125,0.34375,30.46875
484125,-0.96875,0.0,20.28125
898750,-0.0625,0.46875,30.4375
908760,-0.125,0.4375,31.15625
918956,-0.125,0.4375,30.5625
494128,-1.0,0.0,21.78125
929087,0.0625,0.53125,31.25
504128,-0.9375,0.03125,22.40625
939213,0.25,0.625,30.6875
514149,-0.9375,0.03125,21.46875
949301,0.1875,0.59375,31.5625
524288,-1.0,0.0,22.25
959303,0.0,0.5,31.03125
534331,-0.9375,0.03125,20.75
969383,0.3125,0.65625,30.125
979495,0.3125,0.65625,30.96875
544353,-1.0,0.0,21.15625
989614,0.25,0.625,30.78125
554355,-1.0,0.0,21.21875
999671,0.125,0.5625,30.53125
1009794,0.3125,0.65625,30.90625
564392,-0.8125,0.09375,23.28125
1019795,-0.25,0.375,30.5
574549,-0.875,0.0625,23.125
1029988,0.125,0.5625,31.28125
1040051,0.25,0.625,31.3125
584571,-0.9375,0.03125,23.03125
1050167,0.125,0.5625,31.15625
594688,-1.0,0.0,23.375
1060374,0.3125,0.65625,31.375
1070450,0.125,0.5625,29.96875
604862,-0.9375,0.03125,22.375
1080623,0.0,0.5,30.125
615014,-0.9375,0.03125,23.125
1090802,0.25,0.625,30.5
1100843,0.0,0.5,31.40625
625034,-0.875,0.0625,22.5625
1110919,0.375,0.6875,30.59375
635043,-1.0,0.0,23.59375
1121121,0.1875,0.59375,31.28125
1131351,-0.125,0.4375,30.875
645071,-0.875,0.0625,23.96875
