step,reward,win_rate,mean_steps
188,-1.0,0.0,24.625
10256,-1.0,0.0,22.9375
20316,-1.0,0.0,23.6875
30461,-1.0,0.0,24.3125
40561,-1.0,0.0,23.4375
50683,-1.0,0.0,23.5625
60695,-1.0,0.0,22.375
70873,-1.0,0.0,23.5625
80959,-1.0,0.0,24.25
91114,-1.0,0.0,23.84375
101283,-1.0,0.0,24.84375
111456,-1.0,0.0,24.96875
121603,-1.0,0.0,24.375
131609,-1.0,0.0,24.3125
141783,-1.0,0.0,24.375
151788,-1.0,0.0,23.5625
161794,-1.0,0.0,23.28125
171813,-1.0,0.0,22.5
181938,-1.0,0.0,22.03125
191981,-1.0,0.0,22.5625
202117,-1.0,0.0,22.1875
212241,-1.0,0.0,22.59375
222357,-1.0,0.0,23.8125
232404,-1.0,0.0,22.8125
242411,-1.0,0.0,22.59375
252531,-1.0,0.0,22.84375
262722,-1.0,0.0,22.65625
272827,-1.0,0.0,22.5625
282909,-1.0,0.0,22.96875
293044,-1.0,0.0,22.875
303225,-1.0,0.0,23.375
313231,-1.0,0.0,24.0625
323334,-1.0,0.0,23.28125
333481,-1.0,0.0,23.625
343563,-1.0,0.0,23.0
353669,-1.0,0.0,23.09375
363752,-0.96875,0.0,26.8125
373902,-1.0,0.0,23.6875
383908,-1.0,0.0,22.46875
393913,-1.0,0.0,22.1875
403995,-1.0,0.0,23.34375
414053,-1.0,0.0,22.3125
424075,-1.0,0.0,21.6875
434228,-1.0,0.0,22.59375
444343,-1.0,0.0,22.0625
454459,-1.0,0.0,22.0
464598,-1.0,0.0,22.125
474600,-1.0,0.0,22.15625
484699,-1.0,0.0,21.65625
494804,-1.0,0.0,21.375
504843,-1.0,0.0,21.03125
514903,-1.0,0.0,21.0
524999,-1.0,0.0,21.375
535112,-1.0,0.0,21.46875
545244,-1.0,0.0,22.03125
555410,-1.0,0.0,21.875
565538,-1.0,0.0,20.9375
575683,-1.0,0.0,20.78125
585828,-1.0,0.0,21.34375
595836,-1.0,0.0,21.46875
605844,-1.0,0.0,21.3125
615931,-1.0,0.0,21.65625
626015,-1.0,0.0,21.46875
636065,-1.0,0.0,21.84375
646173,-1.0,0.0,21.5
656267,-1.0,0.0,21.78125
666302,-1.0,0.0,22.59375
676383,-1.0,0.0,20.875
686485,-1.0,0.0,22.03125
696667,-1.0,0.0,22.0625
706681,-1.0,0.0,21.78125
716823,-1.0,0.0,21.59375
726889,-1.0,0.0,21.0
736967,-1.0,0.0,21.71875
747004,-1.0,0.0,21.4375
757080,-1.0,0.0,21.65625
767245,-1.0,0.0,21.0625
777304,-1.0,0.0,21.40625
787333,-1.0,0.0,21.875
797461,-1.0,0.0,21.875
807538,-1.0,0.0,21.9375
817657,-1.0,0.0,21.65625
827790,-1.0,0.0,22.125
837872,-1.0,0.0,22.28125
848012,-1.0,0.0,21.5
858160,-1.0,0.0,21.78125
868193,-1.0,0.0,22.03125
878238,-1.0,0.0,21.84375
888243,-1.0,0.0,21.78125
898412,-1.0,0.0,21.46875
908421,-1.0,0.0,21.5
918565,-1.0,0.0,21.125
928643,-1.0,0.0,21.65625
938666,-1.0,0.0,21.59375
948689,-1.0,0.0,21.5625
958739,-1.0,0.0,21.9375
968903,-0.96875,0.0,21.28125
978986,-1.0,0.0,21.34375
989031,-1.0,0.0,21.28125
999105,-1.0,0.0,21.0625
