step,reward,win_rate,mean_steps
296,-1.0,0.0,37.34375
10525,-0.96875,0.0,56.03125
20596,-0.5,0.0,111.90625
30681,-1.0,0.0,27.0
40707,-1.0,0.0,25.9375
50758,-1.0,0.0,28.21875
60906,-1.0,0.0,27.53125
70922,-1.0,0.0,32.78125
81131,-1.0,0.0,30.34375
91225,-1.0,0.0,30.5625
101313,-1.0,0.0,33.03125
111406,-1.0,0.0,32.59375
121521,-1.0,0.0,32.6875
131906,-1.0,0.0,33.75
141915,-1.0,0.0,35.90625
152231,-1.0,0.0,34.96875
162374,-1.0,0.0,34.875
172625,-1.0,0.0,36.78125
182903,-1.0,0.0,38.90625
193034,-1.0,0.0,35.4375
203266,-1.0,0.0,39.28125
213385,-1.0,0.0,38.78125
223618,-1.0,0.0,39.5
233871,-1.0,0.0,39.46875
244171,-1.0,0.0,40.1875
254390,-1.0,0.0,39.6875
264482,-0.9375,0.03125,43.0
274666,-1.0,0.0,39.9375
284758,-1.0,0.0,43.4375
294851,-0.9375,0.03125,43.09375
305029,-1.0,0.0,42.28125
315298,-1.0,0.0,43.21875
325571,-1.0,0.0,41.625
335801,-1.0,0.0,45.34375
345868,-0.9375,0.03125,44.625
355874,-0.75,0.125,48.28125
366130,-0.9375,0.03125,47.125
376323,-0.9375,0.03125,53.625
386395,-0.9375,0.03125,46.9375
396589,-1.0,0.0,44.875
406738,-1.0,0.0,45.15625
416950,-0.9375,0.03125,47.96875
427139,-1.0,0.0,43.09375
437161,-1.0,0.0,45.59375
447353,-0.9375,0.03125,46.21875
457582,-0.9375,0.0,50.03125
467875,-1.0,0.0,44.65625
478178,-1.0,0.0,43.875
488448,-0.84375,0.0625,51.0
498733,-0.9375,0.03125,43.65625
508764,-0.9375,0.03125,44.46875
519102,-0.875,0.0625,46.9375
529355,-0.8125,0.09375,47.25
539607,-0.9375,0.03125,43.59375
549796,-0.9375,0.03125,43.6875
559949,-0.9375,0.03125,43.53125
570003,-0.9375,0.03125,45.71875
580247,-0.9375,0.03125,44.9375
590590,-0.9375,0.03125,46.4375
600620,-1.0,0.0,45.375
610758,-0.9375,0.03125,46.84375
620953,-1.0,0.0,46.34375
631244,-0.9375,0.03125,46.65625
641520,-0.9375,0.03125,46.53125
651736,-1.0,0.0,45.6875
661827,-0.875,0.0625,48.84375
671911,-0.875,0.0625,47.09375
682074,-0.9375,0.03125,47.09375
692282,-0.9375,0.03125,46.78125
702467,-0.9375,0.03125,46.875
712748,-0.9375,0.03125,46.59375
723065,-0.8125,0.09375,48.125
733361,-0.9375,0.03125,49.75
743505,-0.96875,0.0,49.96875
753758,-0.875,0.0625,49.8125
763770,-0.875,0.0625,51.8125
774081,-0.8125,0.09375,55.125
784385,-1.0,0.0,53.03125
794522,-0.75,0.125,55.15625
804792,-0.8125,0.09375,56.375
814937,-0.625,0.1875,53.28125
824971,-0.6875,0.15625,53.875
835194,-0.78125,0.09375,54.15625
845427,-0.8125,0.09375,50.75
855512,-0.8125,0.09375,50.8125
865754,-0.625,0.1875,55.03125
875791,-0.875,0.0625,53.1875
885912,-0.78125,0.09375,56.78125
896147,-0.53125,0.21875,57.21875
906349,-0.6875,0.15625,52.46875
916364,-0.53125,0.21875,57.84375
926702,-0.8125,0.0625,61.21875
937061,-0.75,0.125,51.71875
947235,-0.65625,0.15625,57.4375
957513,-0.78125,0.0625,65.71875
967622,-0.5625,0.1875,61.40625
977963,-0.71875,0.09375,66.21875
988033,-0.84375,0.0625,54.34375
998096,-0.75,0.09375,61.125
1008385,-0.8125,0.0625,62.34375
1018747,-1.0,0.0,44.28125
1028808,-0.90625,0.03125,55.75
1038897,-0.5,0.25,53.3125
1049086,-0.78125,0.0625,67.75
1059425,-0.625,0.15625,64.90625
1069779,-0.375,0.28125,61.875
1080065,-0.4375,0.25,62.15625
1090205,-0.71875,0.125,58.9375
1100304,-0.75,0.125,57.53125
1110456,-0.75,0.125,51.59375
1120777,-0.71875,0.125,57.09375
1130945,-0.71875,0.125,60.625
1141201,-0.84375,0.0625,57.625
1151248,-0.6875,0.15625,55.34375
1161490,-0.71875,0.125,59.65625
1171528,-0.53125,0.21875,59.875
1181635,-0.75,0.125,54.5
1191659,-0.59375,0.1875,59.8125
1201676,-0.6875,0.15625,52.90625
1211883,-0.8125,0.09375,52.4375
1221948,-0.46875,0.1875,72.3125
1231961,-0.53125,0.21875,59.09375
1242121,-0.71875,0.125,58.125
1252165,-0.53125,0.21875,58.8125
1262351,-0.5,0.1875,67.3125
1272668,-0.5625,0.21875,53.15625
1282696,-0.75,0.125,55.6875
1293006,-0.71875,0.09375,66.53125
1303112,-0.65625,0.15625,60.8125
1313436,-0.59375,0.1875,55.6875
1323767,-0.5625,0.21875,53.75
1333935,-0.59375,0.15625,64.28125
1344342,-0.8125,0.0625,55.59375
1354714,-0.625,0.125,59.6875
1364836,-0.59375,0.1875,53.40625
1375025,-0.875,0.0625,52.125
1385198,-0.78125,0.09375,56.25
1395544,-0.8125,0.09375,54.53125
1406017,-0.8125,0.09375,53.34375
1416256,-0.71875,0.125,59.125
1426610,-0.875,0.0625,50.90625
1436969,-0.75,0.125,54.96875
1447130,-0.8125,0.09375,54.0
1457202,-0.625,0.1875,53.59375
1467247,-0.71875,0.125,56.9375
1477323,-0.84375,0.0625,63.25
1487762,-0.75,0.125,54.25
1498106,-0.78125,0.09375,62.375
1508230,-0.8125,0.09375,48.59375
1518435,-0.5,0.25,55.625
1528595,-0.34375,0.3125,56.09375
1538664,-0.6875,0.15625,54.40625
1549147,-0.90625,0.03125,54.875
1559149,-0.5625,0.21875,54.5
1569487,-0.46875,0.25,56.65625
1579520,-0.6875,0.15625,53.6875
1589567,-0.8125,0.09375,52.15625
1599937,-0.875,0.0625,53.84375
1610134,-0.4375,0.28125,59.28125
1620343,-0.53125,0.21875,60.03125
1630444,-0.625,0.1875,52.34375
1640723,-0.5,0.25,53.65625
1650876,-0.5625,0.21875,53.78125
1661106,-0.8125,0.09375,52.90625
1671255,-0.75,0.125,55.09375
1681430,-0.53125,0.21875,57.40625
1691745,-0.625,0.1875,55.59375
1701920,-0.34375,0.3125,62.03125
1712020,-0.375,0.3125,57.03125
1722201,-0.4375,0.25,65.4375
1732330,-0.71875,0.125,58.28125
1742566,-0.5,0.25,58.25
1752607,-0.6875,0.15625,57.375
1762633,-0.4375,0.28125,60.1875
1772980,-0.6875,0.125,60.875
1783280,-0.59375,0.1875,53.0
1793478,-0.59375,0.1875,56.03125
1803701,-0.71875,0.125,58.96875
1813779,-0.78125,0.09375,60.0
1823966,-0.75,0.125,52.25
1833998,-0.46875,0.25,59.09375
1844247,-0.5625,0.21875,54.3125
1854543,-0.53125,0.21875,57.09375
1864734,-0.8125,0.0625,62.75
1874993,-0.5,0.25,55.3125
1885156,-0.65625,0.15625,58.15625
1895357,-0.625,0.1875,57.03125
1905541,-0.5,0.25,57.84375
1915892,-0.40625,0.28125,62.8125
1925968,-0.5,0.25,55.375
1936232,-0.5625,0.21875,55.4375
1946383,-0.25,0.34375,62.9375
1956671,-0.5625,0.21875,57.78125
1966738,-0.53125,0.21875,59.78125
1976977,-0.53125,0.21875,60.625
1987123,-0.625,0.1875,55.90625
1997343,-0.5625,0.21875,53.84375
2007481,-0.375,0.3125,54.625
2017612,-0.71875,0.125,61.125
2027837,-0.5,0.25,55.8125
2037863,-0.4375,0.28125,58.0
2047974,-0.3125,0.34375,56.375
2058125,-0.5625,0.21875,54.375
2068381,-0.625,0.1875,58.15625
2078499,-0.5,0.25,55.96875
2088665,-0.5625,0.21875,54.3125
2098789,-0.5625,0.21875,56.375
2108882,-0.5625,0.21875,58.5
2119063,-0.4375,0.28125,57.65625
2129262,-0.375,0.3125,56.15625
2139467,-0.6875,0.125,63.6875
2149723,-0.375,0.3125,57.0625
2160151,-0.5,0.25,57.78125
2170383,-0.5,0.25,57.8125
2180850,-0.40625,0.28125,61.875
2191048,-0.78125,0.09375,61.8125
2201272,-0.59375,0.15625,67.71875
2211329,-0.625,0.1875,55.5625
2221604,-0.375,0.3125,56.53125
2231656,-0.40625,0.28125,53.5625
2241998,-0.65625,0.125,63.8125
2252038,-0.34375,0.28125,73.53125
2262066,-0.46875,0.21875,69.6875
2272427,-0.4375,0.28125,55.3125
2282470,-0.5,0.25,58.625
2292654,-0.25,0.375,54.875
2302769,-0.1875,0.40625,57.09375
2312825,-0.25,0.375,57.0625
2322967,-0.4375,0.28125,63.21875
2333040,-0.4375,0.28125,55.90625
2343419,-0.375,0.3125,54.1875
2353563,-0.4375,0.28125,56.21875
2363860,-0.5625,0.21875,57.28125
2374016,-0.3125,0.34375,57.46875
2384253,-0.5,0.25,54.75
2394602,-0.21875,0.375,59.5
2404875,-0.5625,0.21875,58.3125
